cui,name
C0001138,Acinetobacter
C0001250,Actinomyces
C0001252,Actinomyces israelii (bacteria)
C0001699,Klebsiella pneumoniae
C0001705,Aeromonas
C0004279,Atypical Bacterial Forms
C0004587,Bacillus <bacterium>
C0004589,Bacillus anthracis
C0004590,Bacillus cereus
C0004611,Bacteria
C0004612,"Bacteria, Aerobic"
C0004613,"Bacteria, Anaerobic"
C0004661,Bacteroides
C0004663,Bacteroides fragilis
C0006017,Bordetella pertussis
C0006033,Borrelia
C0006132,Moraxella catarrhalis
C0006303,Brucella
C0006813,Campylobacter
C0006819,Campylobacter jejuni
C0008148,Chlamydia
C0008151,Chlamydia trachomatis
C0008154,Chlamydiales
C0009054,Clostridium
C0009063,Clostridium perfringens
C0009064,Clostridium tetani
C0010148,Corynebacterium
C0010150,Corynebacterium diphtheriae
C0010156,Corynebacterium pyogenes
C0010240,Coxiella burnetii
C0013722,Ehrlichia
C0013738,Eikenella corrodens
C0014344,Enterobacter
C0014346,Enterobacteriaceae
C0014738,Erysipelothrix rhusiopathiae
C0014834,Escherichia coli
C0016677,Francisella tularensis
C0016878,Genus Fusobacterium
C0016880,Fusobacterium necrophorum
C0016914,Gaffkya homari
C0017098,Gardnerella vaginalis
C0018148,Gram-Negative Aerobic Bacteria
C0018149,Gram-Negative Anaerobic Bacteria
C0018150,Gram Negative Bacteria
C0018152,Gram-Negative Facultatively Anaerobic Rods
C0018154,Gram-Positive Bacteria
C0018155,Gram-Positive Cocci
C0018479,Hemophilus
C0018483,Haemophilus influenzae
C0022727,Klebsiella
C0022828,L Forms
C0022940,Lactobacillus casei
C0023237,Legionella
C0023238,Legionella pneumophila
C0023859,Listeria
C0023861,Listeria monocytogenes
C0026536,Moraxella <genus>
C0026907,Mycobacteriaceae
C0026912,Genus Mycobacterium
C0026913,Mycobacterium avium
C0026914,Mycobacterium avium Complex
C0026926,Mycobacterium tuberculosis
C0026934,Mycoplasma
C0026941,Mycoplasma pneumoniae
C0026944,Mycoplasmatales (bacterium)
C0027571,Neisseria
C0027573,Neisseria gonorrhoeae
C0027575,Neisseria meningitidis
C0027576,Neisseriaceae
C0028241,Nocardia asteroides
C0030635,Pasteurella
C0030637,Pasteurella multocida
C0030965,Peptococcus
C0030967,Peptostreptococcus
C0033475,Propionibacteriaceae
C0033476,Propionibacterium
C0033477,Propionibacterium acnes
C0033697,Proteus
C0033808,Pseudomonas
C0033809,Pseudomonas aeruginosa
C0033811,Pseudomonas fluorescens
C0033818,Burkholderia mallei
C0033819,Burkholderia pseudomallei
C0035497,Rhodopseudomonas
C0035583,Rickettsia
C0035588,Rickettsia rickettsii
C0035596,Order Rickettsiales
C0036111,Salmonella
C0036112,Salmonella arizonae (bacteria)
C0036115,Salmonella paratyphi C
C0036124,Salmonella paratyphi B
C0036125,Salmonella typhi
C0036953,Shigella
C0036956,Shigella dysenteriae
C0037973,ORDER SPIROCHAETALES
C0038170,Genus staphylococcus
C0038172,Staphylococcus aureus
C0038174,Staphylococcus epidermidis
C0038402,Streptococcus
C0038404,Enterococcus faecalis
C0038408,Lactococcus lactis
C0038410,Streptococcus pneumoniae
C0038411,Streptococcus pyogenes
C0038420,Streptomyces
C0040837,Treponema
C0040840,Treponema pallidum
C0041944,Ureaplasma
C0042628,Vibrio
C0042629,Vibrio cholerae
C0042637,Vibrio parahaemolyticus
C0043405,Yersinia <bacteria>
C0043406,Yersinia enterocolitica
C0043408,Yersinia pestis
C0079134,Clostridium difficile
C0079488,Helicobacter pylori
C0081786,Microbial Biofilms
C0085440,Corynebacterium pseudotuberculosis
C0085442,Mycobacterium avium subsp. paratuberculosis
C0085460,Gram-Negative Aerobic Rods and Cocci
C0085465,Legionellaceae
C0085468,Moraxella bovis
C0085476,Gram-Negative Anaerobic Cocci
C0085482,Eikenella
C0085484,Enterobacter cloacae
C0085487,Gardnerella
C0085491,Aeromonas hydrophila
C0085494,Enterococcus
C0085495,Enterococcus faecium
C0085496,Streptococcus bovis
C0085498,Gram-Positive Rods (bacteria)
C0085501,Ureaplasma urealyticum
C0085504,Chlamydophila pneumoniae
C0085510,Campylobacter coli
C0085549,Lactococcus
C0085957,Bacillus Calmette-Guerin
C0086662,Battey Bacillus
