cui,name
C0006629,Cadaver
C0229986,Application site
C0332469,Fissure
C0444584,Whole body
C0460148,Human body structure
C0700276,Anatomic structures
C1268086,Body structure
C1301416,Transjugular intrahepatic portosystemic shunt morphologic abnormality
C1513264,Microanatomic Structure
C1705682,Molecular helix
C1879708,Anterior Portion of the Urethra
C1880363,Distal Common Bile Duct
C1880789,Flexural Skin
C1880791,Flexure
C1882430,Posterior Portion of the Urethra
C1947951,Anatomical Apparatus
C1947952,anatomical bulb
C1947953,Stalk - anatomical structure
C1955856,Surgical Stoma
C2349967,Compartment of cell
C2362924,Septum - general anatomical term
C2698123,Intracranial Anterior Circulation
C2717802,Viral Structures
C2983793,Root Eminence
C2986583,Incisal edge of tooth
C3203348,Upper Gastrointestinal Tract
C3640782,Lateral Third Obtuse Marginal Branch Artery
C3641677,Carpometacarpal Joint 3
C3642479,Carpometacarpal Joint 5
C3714591,Floor (anatomic)
C3714653,Vasculature
C3890773,Coccygeal Sinus
C3897005,Spinous Process
C3899515,Composite Vessel Graft
C3900033,Ankle Mortise
C4019437,Sinus tract
C4042890,"Wings, Animal"
C4053852,Ward's Triangle
C4082212,Adult human body
C4288405,Peristomal Skin
C4331022,Portal Vein Bifurcation
C4524867,Mesenteric Root
C4554099,Striatum Nuclei
C4724978,Other and Ill-Defined Sites ICD-O-3
C4745009,Peritoneum and Retroperitoneum
