cui,name
C0000768,Congenital Abnormality
C0000772,Multiple congenital anomalies
C0000846,Agenesis
C0001080,Achondroplasia
C0001193,Apert syndrome
C0002452,Amelogenesis Imperfecta
C0002902,Anencephaly
C0003076,Aniridia
C0003119,Anophthalmos
C0003466,"Anus, Imperforate"
C0003492,Aortic coarctation
C0003516,Aortopulmonary Septal Defect
C0003706,Arachnodactyly
C0003803,Arnold Chiari Malformation
C0003857,Congenital arteriovenous malformation
C0006131,Branchioma
C0006288,Bronchopulmonary Sequestration
C0007772,Intracranial Arteriovenous Malformation
C0008297,Choanal Atresia
C0008340,Choledochal Cyst
C0008626,Congenital chromosomal disease
C0008924,Cleft upper lip
C0008925,Cleft Palate
C0009439,"Choledochal Cyst, Type I"
C0009677,Congenital macroglossia
C0009681,Anomalous pulmonary artery
C0010074,Coronary Vessel Anomalies
C0010417,Cryptorchidism
C0010626,Embryonic cyst
C0011436,Dentinogenesis Imperfecta
C0011813,Dextrocardia
C0011981,Diaphragmatic Eventration
C0013274,Patent ductus arteriosus
C0013364,"Dysautonomia, Familial"
C0013580,Ectopia Cordis
C0014065,Congenital cerebral hernia
C0014116,Endocardial Cushion Defects
C0014527,Epidermolysis Bullosa
C0015306,Hereditary Multiple Exostoses
C0015393,Eye Abnormalities
C0016508,Congenital Foot Deformity
C0016522,"Foramen Ovale, Patent"
C0016842,Congenital pectus excavatum
C0018566,Congenital Hand Deformities
C0018798,Congenital Heart Defects
C0018816,Heart Septal Defects
C0018817,Atrial Septal Defects
C0018818,Ventricular Septal Defects
C0019556,"Hip Dysplasia, Canine"
C0020302,Hydrophthalmos
C0024433,Macrostomia
C0025312,Meningomyelocele
C0025521,Inborn Errors of Metabolism
C0025958,Microcephaly
C0025988,Microglossia
C0025990,Micrognathism
C0026010,Microphthalmos
C0026034,Microstomia
C0026985,Myelodysplasia
C0027794,Neural Tube Defects
C0031192,Persistent Ostium Primum
C0031900,Pierre Robin Syndrome
C0032209,Platybasia
C0033324,Prognathism
C0035238,Congenital abnormality of respiratory system
C0035353,Congenital retrognathism
C0035615,Right aortic arch (disorder)
C0036868,Sex Chromosome Aberrations
C0036875,Disorders of Sex Development
C0037221,Situs Inversus
C0037268,Skin Abnormalities
C0037917,Spina Bifida Cystica
C0039685,Tetralogy of Fallot
C0040759,Congenital Transposition
C0040761,Transposition of Great Vessels
C0041022,Trilogy of Fallot
C0041207,"Truncus Arteriosus, Persistent"
C0042063,Urogenital Abnormalities
C0079037,Branchial Clefts-Congenital disorder
C0079352,Congenital torticollis
C0079541,Holoprosencephaly
C0080174,Spina Bifida Occulta
C0080178,Spina Bifida
C0085758,"Aganglionosis, Colonic"
C0149530,Congenital heart block
C0149630,Bicuspid aortic valve
C0149955,Annular pancreas
C0151491,Congenital musculoskeletal anomalies
C0152021,Congenital heart disease
C0152233,Congenital ankyloblepharon
C0152240,Uterus bilocularis
C0152423,Congenital small ears
C0152424,Common ventricle
C0152436,"Hymen, Imperforate"
C0152438,Sprengel deformity
C0158618,Congenital stenosis of mitral valve
C0158623,Congenital anomaly of coronary artery
C0158646,Cleft palate with cleft lip
C0158698,Congenital malformation of the urinary system
C0158731,Congenital pectus carinatum
C0158734,Polydactyly of toes
C0158738,Syndactyly of toes with fusion of bones
C0158784,Accessory skeletal muscle
C0175754,Agenesis of corpus callosum
C0175755,Congenital absent nipple
C0220668,Congenital contractural arachnodactyly
C0220685,Achondrogenesis type 2
C0220810,Congenital defects
C0221182,Chordee
C0221199,Abnormal palmar creases
C0221210,Congenital malrotation of intestine
C0221214,Vascular ring
C0221353,Horseshoe Kidney
C0221354,Frontal bossing
C0221358,Long narrow head
C0221365,Double ureter
C0235832,Congenital hernia
C0235833,Congenital diaphragmatic hernia
C0238210,Malrotation of kidney
C0238395,Male Pseudohermaphroditism
C0238506,Congenital posterior urethral valves
C0239399,Short extremities
C0240912,Vertical Talus
C0243050,Cardiovascular Abnormalities
C0243066,Atresia
C0259779,Fibrous Dysplasia
C0265283,"Atelosteogenesis, type 1"
C0265529,Plagiocephaly
C0265552,Congenital macrodactylia
C0265554,Ectrodactyly
C0265563,Congenital dislocation of radial head
C0265594,Congenital absence of hand
C0265654,Tarsal Coalition
C0265673,Congenital kyphosis
C0265695,Congenital fusion of ribs
C0265699,Congenital hernia of foramen of Morgagni
C0265700,Congenital hernia of foramen of Bochdalek
C0265736,Congenital anomaly of nose
C0265740,Arrhinia
C0265783,Congenital hypoplasia of lung
C0265797,Congenital emphysema
C0265865,Mesocardia
C0265870,Congenital absence of coronary sinus
C0265878,Preductal coarctation of aorta
C0265908,Congenital atresia of pulmonary artery
C0265962,Ichthyosis linearis circumflexa
C0266011,Accessory nipple
C0266037,Peg-shaped teeth
C0266061,Open Bite
C0266111,Bifid tongue
C0266122,Cleft uvula
C0266174,Duodenal atresia
C0266190,Congenital atresia of colon
C0266196,Malrotation of colon
C0266215,Anorectal atresia
C0266225,Persistent cloaca
C0266231,Ectopic anus
C0266294,Unilateral agenesis of kidney
C0266305,Fused Kidney
C0266345,Congenital urethral valve
C0266362,Ambiguous Genitalia
C0266371,Streak ovary
C0266383,Uterine Anomalies
C0266387,Bicornuate uterus
C0266389,Uterus unicornis
C0266414,Imperforate vagina
C0266470,Cerebellar Hypoplasia
C0266541,Microphakia
C0266574,Ablepharon
C0266576,Accessory eyelid
C0266589,Congenital ear anomaly NOS (disorder)
C0266597,Congenital atresia of external auditory canal
C0266609,Accessory tragus
C0266610,Preauricular dimple
C0266614,Bat ear
C0266624,Sinus of branchial cleft (disorder)
C0266632,Ectopic spleen
C0266682,Celosomus
C0266684,Fetus in fetu
C0266717,Acardius
C0268287,Deficiency of steroid 21-monooxygenase
C0268358,"Osteogenesis imperfecta, dominant perinatal lethal"
C0270805,Hemiplegic cerebral palsy
C0278457,Indeterminate sex
C0282160,Aplasia Cutis Congenita
C0332877,Congenital premature fusion
C0332878,Congenital contracture
C0332907,Congenital absence
C0332915,Congenital failure of fusion
C0332996,Persistent embryonic structure
C0338596,Spastic cerebral palsy
C0339350,Congenital anomaly of lens
C0339864,Bifid epiglottis
C0340803,Capillary malformation (disorder)
C0341787,Bifid scrotum
C0344490,Sacral agenesis
C0344511,Atresia of nasolacrimal duct
C0344523,"Cataract, congenital, cerulean type 1"
C0344529,Cornea plana
C0344539,Hypoplasia of iris
C0344688,Patent Ductus Venosus
C0344724,Ostium secundum atrial septal defect
C0344893,Right cardiac ventricular dilatation
C0344917,Left ventricular outflow tract obstruction
C0345001,unicuspid aortic valve
C0345065,Cervical aortic arch
C0345088,Kinking of descending aorta
C0345200,Congenital dysmotility of small intestine
C0345237,Short segment Hirschsprung's disease
C0345240,Total intestinal aganglionosis
C0345259,Band of Ladd
C0345319,Cyst of hydatid of Morgagni
C0345326,Congenital phimosis
C0345371,Hypoplasia of lower limb
C0345375,Congenital hypoplasia of femur
C0345394,Hypoplasia of spine
C0345397,Accessory rib
