cui,name
C0000739,Abdominal Muscles
C0000741,Abducens nerve structure
C0000905,Accessory nerve structure
C0000962,Bone structure of acetabulum
C0001074,Structure of achilles tendon
C0001162,Acoustic Nerve
C0001209,Acromion
C0001428,Adenoidal structure
C0001575,Uterine adnexae structure
C0001613,Adrenal Cortex
C0001625,Adrenal Glands
C0001629,Adrenal Medulla
C0001878,Air Sacs
C0002708,Amygdaloid structure
C0002759,Anal Sacs
C0002760,Structure of sphincter ani muscle
C0003151,Anterior chamber of eye structure
C0003153,Anterior eyeball segment structure
C0003461,Anus
C0003483,Aorta
C0003484,Abdominal aorta structure
C0003489,Aortic arch structure
C0003501,Aortic valve structure
C0003584,Apocrine Glands
C0003617,Appendix
C0003707,Arachnoid mater
C0003741,Structure of nucleus infundibularis hypothalami
C0003793,Bone structure of upper limb
C0003842,Arteries
C0003847,Structure of arteriole
C0003943,Arytenoid Cartilage
C0003956,Ascending aorta structure
C0004170,Cervical Atlas
C0004247,Structure of atrioventricular node
C0004302,Auditory area
C0004384,"Autonomic Fibers, Postganglionic"
C0004455,Structure of axillary artery
C0004456,Structure of axillary vein
C0004457,Axis vertebra
C0004768,Bartholin Glands
C0004781,Basal Ganglia
C0004789,Structure of basal vein
C0004811,Structure of basilar artery
C0004816,Basilar Membrane
C0004895,Beak
C0005400,Bile duct structure
C0005401,Intrahepatic bile duct
C0005423,Biliary tract structure
C0005682,Urinary Bladder
C0005847,Blood Vessel
C0005854,Blood - brain barrier anatomy
C0006087,Structure of brachial artery
C0006090,Brachial plexus structure
C0006094,Structure of brachiocephalic artery
C0006095,Structure of brachiocephalic vein
C0006104,Brain
C0006121,Brain Stem
C0006141,Breast
C0006205,Broad Ligament
C0006255,Bronchi
C0006257,Structure of bronchial artery
C0006270,Bronchioles
C0006323,Brunner Glands
C0006382,Bundle of His
C0006383,Accessory atrioventricular bundle (body structure)
C0006441,Synovial bursa
C0006549,C Fibers
C0006655,Bone structure of calcaneum
C0006901,Blood capillaries
C0007272,Carotid Arteries
C0007275,External carotid artery structure
C0007276,Internal carotid artery structure
C0007277,Carotid Body
C0007281,Structure of carotid sinus
C0007285,Bone structure of carpus
C0007458,Cauda Equina
C0007461,Caudate nucleus structure
C0007531,Cecum
C0007569,Celiac Artery
C0007571,Celiac ganglion
C0007765,Cerebellum
C0007770,Structure of cerebral artery
C0007776,Cerebral cortex
C0007797,Structure of cerebral vein
C0007874,Cervix Uteri
C0008484,Structure of chordae tendineae cordis
C0008520,Choroid
C0008779,Ciliary Body
C0008913,Bone structure of clavicle
C0009194,Bone structure of coccyx
C0009195,Cochlear structure
C0009201,Cochlear Nerve
C0009368,Colon structure (body structure)
C0009437,Common bile duct structure
C0009758,conjunctiva
C0010031,Cornea
C0010075,Coronary Vessels
C0010085,Corpora Allata
C0010092,Structure of corpus luteum of ovary
C0010097,Corpus striatum structure
C0010268,Cranial Nerves
C0010271,Cranial Sinuses
C0010352,Avian crop
C0010482,Cuspid
C0010672,Cystic duct structure
C0011106,Decidua
C0011193,Structure of lateral vestibular nucleus
C0011325,Dental arch structure
C0011387,Dental Papilla
C0011399,Dental Pulp
C0011416,Dental Sac
C0011443,Dentition
C0011444,"Dentition, Mixed"
C0011665,Structure of Descemet's membrane
C0011666,Descending aorta
C0011980,Respiratory Diaphragm
C0012144,Structure of diencephalon
C0013293,Greater duodenal papilla structure
C0013303,Duodenum
C0013313,Dura Mater
C0013443,Ear structure
C0013444,External auditory canal structure
C0013450,Ear ossicle structure
C0013453,External Ear
C0013492,Eccrine Glands
C0013681,Efferent Pathways
C0014133,Endocrine Glands
C0014167,Endolymphatic duct
C0014180,Endometrium
C0014533,Epididymis
C0014540,Epiglottis structure
C0014570,Epiphysis of bone
C0014865,Esophageal sphincter
C0014876,Esophagus
C0015027,Ethmoid bone structure
C0015183,Eustachian Tube
C0015282,Exocrine Glands
C0015372,extrapyramidal tract
C0015385,Limb structure
C0015392,Eye
C0015426,Eyelid structure
C0015455,Bone structure of face
C0015460,Facial Muscles
C0015462,Facial nerve structure
C0015560,Fallopian Tubes
C0015641,Fascia
C0015642,Fascia lata structure
C0015665,Fat Body
C0015801,Structure of femoral artery
C0015808,Structure of femoral nerve
C0015809,Femoral vein
C0015811,Femur
C0015813,Head of femur
C0015815,Structure of neck of femur
C0016068,Fibula
C0016129,Fingers
C0016504,Foot
C0016505,Bone structure of foot
C0016536,Forearm
C0016622,Structure of fovea centralis
C0016732,Frontal bone structure
C0016733,frontal lobe
C0016823,Structure of fundus of eye
C0016976,Gallbladder
C0017067,Ganglia
C0017068,Autonomic ganglion
C0017069,Structure of parasympathetic ganglion
