cui,name
C0000726,Abdomen
C0001302,Acupuncture Points
C0003086,Ankle
C0004454,Axilla
C0004600,Back
C0005898,Body Regions
C0006497,Buttocks
C0007144,Cardia of stomach
C0007966,Cheek structure
C0008114,Chin
C0009191,Coccygeal Region
C0013769,Elbow
C0015450,Face
C0016539,"Forefoot, Human"
C0016540,Forehead
C0016555,Forelimb
C0017681,glottis
C0018246,Inguinal region
C0018670,Head
C0020654,"Hypothalamic Area, Lateral"
C0021445,Inguinal canal structure
C0024090,Lumbar Region
C0024094,Lumbosacral Region
C0025066,Mediastinum
C0025474,Mesentery
C0025590,Region of metatarsal
C0026607,Motor Cortex
C0026638,Sublingual Region
C0027530,Neck
C0031066,Anogenital region
C0036033,Sacral Region
C0036035,Sacrococcygeal Region
C0037004,Shoulder
C0038446,Area striata structure
C0039866,Thigh structure
C0041638,Umbilicus (Anatomy)
C0042591,Vessel Positions
C0042997,vulvovaginal
C0043262,Wrist
C0149543,Base of skull structure
C0150934,"Ear, nose and throat"
C0152349,Subthalamic structure
C0205054,Hepatic
C0205097,Caudal
C0222679,Structure of articular surface of bone
C0222769,Jugular notch of sternum
C0222809,Tubercle of rib structure
C0223890,Base of patella
C0225484,Posterior wall of nasopharynx
C0225486,lateral wall of nasopharynx
C0225492,Superior wall of nasopharynx
C0225703,Structure of apex of lung
C0225705,Bronchopulmonary segment
C0225708,Structure of base of right lung
C0225732,Structure of base of left lung
C0225759,Lung field
C0225808,Right side of heart
C0225809,Left side of heart
C0225810,Structure of base of heart
C0225811,Structure of apex of heart
C0225818,Structure of right margin of heart
C0225819,Structure of left margin of heart
C0225884,Structure of crista supraventricularis
C0226875,Lower Gastrointestinal Tract
C0226898,Structure of oral cavity proper
C0227155,Posterior wall of oropharynx
C0227174,Posterior wall of hypopharynx
C0227189,Middle third of esophagus
C0227223,Greater curvature of stomach
C0227327,Distal part of ileum
C0227387,Left colic flexure
C0227425,Structure of anal intersphincteric groove
C0227622,Structure of renal segment
C0227762,Posterior commissure of labia majora
C0227794,Fornix of vagina
C0227931,Radix penis structure
C0227960,Structure of anterior surface of prostate
C0229092,Structure of posterior pole of eye
C0229227,Structure of anterior surface of lens
C0229881,Tonsillar fossa
C0229978,90 percent of body surface or more
C0230003,Vertex
C0230004,Parietal area of head
C0230005,Occipital region
C0230007,Temporal region
C0230013,Preauricular region structure
C0230028,Oral region
C0230054,Structure of suprasellar region
C0230062,Structure of medial wall of orbit
C0230064,Periorbital region
C0230065,Structure of retroorbital region
C0230069,Anterior portion of neck
C0230070,Submandibular triangle structure
C0230087,Midclavicular line of trunk
C0230091,Anterior axillary line
C0230092,Posterior axillary line
C0230093,Upper trunk structure
C0230094,Lower trunk structure
C0230101,Upper back structure
C0230102,Lower back structure
C0230108,Infraclavicular region structure
C0230128,Left thorax structure
C0230131,Posterior chest wall
C0230132,Anterior chest wall structure
C0230134,Structure of precordium
C0230137,Structure of thoracic inlet
C0230143,Structure of costal arch
C0230147,Superior mediastinum
C0230148,Anterior mediastinum
C0230149,Middle mediastinum
C0230150,Posterior mediastinum
C0230151,Costophrenic angle
C0230165,Upper abdomen (surface region)
C0230168,Abdominal Cavity
C0230171,Flank (surface region)
C0230177,Structure of right upper quadrant of abdomen
C0230178,Structure of right lower quadrant of abdomen
C0230179,Structure of left upper quadrant of abdomen
C0230180,Structure of left lower quadrant of abdomen
C0230185,Epigastrium
C0230189,Hypogastric region
C0230193,Anterior abdominal wall
C0230195,Linea alba
C0230288,Structure of obstetrical canal
C0230355,Antecubital region
C0230360,Structure of right forearm
C0230373,Palmar surface
C0230374,Thenar eminence
C0230375,Hypothenar eminence
C0230417,Femoral region
C0230444,Shin
C0230445,Structure of calf of leg
C0230459,Hindfoot (body structure)
C0230463,Sole of Foot
C0230467,Arch of foot
C0282082,Gluteal Region
C0392338,Cutaneous Receptive Fields
C0441907,Lead site V1
C0441908,Lead site V2
C0442031,Pericardial body location
C0442034,peritoneal
C0442036,Plantar - anatomical location
C0442044,Ulnar
C0442158,Perianal
C0442192,Supraglottic
C0443349,Volar
C0446414,Level of the fourth cervical vertebra
C0446455,Front of neck
C0446470,Surface region of lower chest
C0446472,Side of chest
C0446495,Periumbilical part of abdomen
C0446516,Upper arm
C0446523,Antecubital Fossa
C0447210,Entire maxillary teeth
C0447301,Tooth surface
C0447303,Occlusal surface of tooth
C0447556,Neck of pancreas
C0447618,Uterine segment
C0447620,Structure of uterine wall
C0449197,PUL anatomical site notation for tumour staging
C0449201,PER tumor staging notation
C0449205,LIM tumor staging site
C0449218,Lead site V3
C0449751,Radial deviation
C0450108,Arterio-arterial
C0450724,Gallbladder acupuncture point 3
C0458098,Midclavicular line
C0458343,Trigger point
C0458561,External nose structure
C0458630,Region of epididymis
C0458696,Peripheral zone of prostate
C0458924,Entire anterior portion of diaphragmatic aspect of liver
C0458925,Posterior surface of liver
C0459697,Anterior segment of maxilla
C0460004,Head and neck structure
C0460005,Trunk structure
C0460009,"Back structure, including back of neck"
C0460025,Upper jaw region
C0460026,Lower jaw region
C0502473,Inferior margin of rib
C0503895,Anatomical conduit
C0504075,Anatomical landmark
C0504611,Organ subdivision
C0505369,Zone of continuity
C0506201,Segment of tracheobronchial tree
C0507100,Wall of cardiac chamber
C0507134,Cardiac shadow viewed radiologically
C0521342,ligamentous
C0521344,serosal
C0521352,subglottic
C0521366,retropharyngeal
C0521367,Oropharyngeal
C0521387,Myometrial
C0521401,Leptomeningeal
C0521440,Epigastric
C0521453,Decidual
C0524425,inside the blood vessel
C0524466,Intracranial
C0524468,Structure of right shoulder region
C0524469,Structure of left shoulder region
C0524470,Right hip region structure
C0545734,Aorta and aorta
C0553534,Cardiopulmonary
C0555898,Sacroiliac
C0556956,Cervical region (surface region of back)
C0559817,Entire trochanteric section of femur
C0565929,Surface region of back of chest
C0581758,Nuchal region
C0582240,Border of rib
C0596790,interstitial
C0597383,respiration regulatory center
C0598032,septal area
C0694654,Left Lower Forearm
C0694658,left subclavian
C0694671,Right Lower Forearm
C0694673,right naris
C0694675,right subclavian
C0700042,Orbital region
