cui,name
C0000731,Abdomen distended
C0000734,Abdominal mass
C0000804,"Abortion, Criminal"
C0001118,Acid-Base Imbalance
C0002453,Amenorrhea
C0002682,Ampicillin Resistance
C0003079,Anisocoria
C0003126,Anosmia
C0003813,Sinus Arrhythmia
C0004377,Automatism
C0005603,Birth History
C0005607,Birth Order
C0005687,Bladder distention
C0005758,Bulla
C0005826,Abnormal blood pressure
C0005911,Body Weight Changes
C0006152,Swelling of breast
C0006318,Bruit
C0007166,Low Cardiac Output
C0007280,Carotid bruit
C0007294,Genetic Carriers
C0007465,Cause of Death
C0009269,Cold intolerance
C0009488,Comorbidity
C0009789,Consanguinity (genetic finding)
C0009791,Consciousness related finding
C0009866,Contraceptive Failure
C0009940,Convalescence
C0010038,Corneal Opacity
C0010261,Cracked Tooth Syndrome
C0011053,Deafness
C0011057,"Hearing Loss, Sudden"
C0011124,Decreased Libido
C0011330,Dental Calculus
C0011998,Diastema of Teeth
C0012156,Diet Fads
C0012569,Diplopia
C0013132,Drooling
C0013144,Drowsiness
C0013220,Drug Tolerance
C0013378,Dysgeusia
C0013658,Educational Status
C0014007,Employment Termination
C0014745,Palmar erythema
C0015326,Expiratory Reserve Volume
C0015457,Facial Expression
C0015663,Fasting
C0015734,Fecal Impaction
C0015938,Fetal Macrosomia
C0016242,Vitreous floaters
C0016528,Forced Expiratory Flow Rates
C0016579,Formication
C0016815,Functional Residual Capacity
C0016927,Gagging
C0016928,Gait
C0017979,Glycosuria
C0018748,Health Services Accessibility
C0018772,"Hearing Loss, Partial"
C0018800,Cardiomegaly
C0018808,Heart murmur
C0018811,"Heart Rate, Fetal"
C0019048,Hemoglobinuria
C0019209,Hepatomegaly
C0019521,Hiccough
C0019572,Hirsutism
C0019857,Home Childbirth
C0020303,Hydropneumothorax
C0020438,Hypercalciuria
C0020440,Hypercapnia
C0020461,Hyperkalemia
C0020505,Hyperphagia
C0020578,Hyperventilation
C0020580,Hypesthesia
C0020621,Hypokalemia
C0020623,Hypolipoproteinemias
C0020649,Hypotension
C0020672,"Hypothermia, natural"
C0021092,Impacted cerumen
C0021294,"Infant, Premature"
C0021610,Inspiratory Capacity
C0021899,Intrauterine Device Expulsion
C0022107,Irritable Mood
C0022410,Joint Instability
C0022868,Labor Onset
C0023221,Leg Length Inequality
C0023974,Loneliness
C0024032,Low Birth Weights
C0024103,Mass in breast
C0024841,"Marriage, life event"
C0024967,Maximal Voluntary Ventilation
C0025115,Medication Error
C0026635,Mouth Breathing
C0026644,"Mouth, Edentulous"
C0026751,Multiparity
C0026826,Muscle Hypertonia
C0026827,Muscle hypotonia
C0026858,Musculoskeletal Pain
C0027080,Myoglobinuria
C0027343,"Nails, Ingrown"
C0027429,Nasal obstruction present finding
C0027443,Natal Teeth
C0027854,Neurologic Manifestations
C0029053,Decreased translucency
C0029131,Abnormality of the optic nerve
C0029162,Oral health
C0030232,Pallor
C0030252,Palpitations
C0030318,Panic
C0030563,Parity
C0031206,Personal Satisfaction
C0031538,Phimosis
C0032230,Pleural Rub
C0032972,Pregnancy Outcome
C0032989,Multiple Pregnancy
C0033213,Problem
C0033687,Proteinuria
C0033774,Pruritus
C0034079,Nodule of lung
C0034359,Pyuria
C0034642,Rales
C0034933,"Reflex, Abnormal"
C0034935,Babinski Reflex
C0035213,Pulmonary Ventilation
C0035232,Respiratory Paralysis
C0035300,Abnormal retinal morphology
C0035508,Rhonchi
C0035648,risk factors
C0036019,Saccades
C0036454,Scotoma
C0036973,Shivering
C0037420,Social Interaction
C0037431,Social Problems
C0037932,Curvature of spine
C0038002,Splenomegaly
C0038187,Starvation
C0038238,Steatorrhea
C0038435,Stress
C0038661,Suicide
C0038990,Sweating
C0038999,Swelling
C0039231,Tachycardia
C0039437,Teething syndrome
C0039621,Tetany
C0039870,Thinness
C0040433,Tooth Crowding
C0040434,Tooth Discoloration
C0040437,Tooth eruption
C0040457,"Tooth, Supernumerary"
C0040509,Total Lung Capacity
C0041657,Unconscious State
C0041667,Underweight
C0041674,Unemployment
C0041981,Increased uric acid level
C0042023,Increased frequency of micturition
C0042282,Valgus deformity
C0042509,Ventricular End-Diastolic Volume
C0043084,Weaning
C0043094,Weight Gain
C0043352,Xerostomia
C0043387,Yawning
C0080048,Privacy
C0080203,Tachyarrhythmia
C0080274,Urinary Retention
C0080308,Ventricular End-Systolic Volume
C0085086,Weight Bearing
C0085128,"Cardiac Output, High"
C0085383,Hypocapnia
C0085393,Immunocompromised Host
C0085595,Body odor
C0085619,Orthopnea
C0085639,Falls
C0086066,Acute Coryza
C0086437,Joint laxity
C0086439,Hypokinesia
C0086565,Liver Dysfunction
C0087130,Uncertainty
C0087136,Unmarried
C0117002,Euthyroid (finding)
C0149508,Obstruction of Eustachian tube
C0149726,Lung mass
C0149744,Oral lesion
C0149823,Acute dilatation of stomach
C0150009,At risk for activity intolerance
C0150012,At risk for aspiration
C0150027,Ineffective family coping
C0150032,At risk for deficient fluid volume
C0150034,Impaired gas exchange
C0150045,Urge Incontinence
C0150079,Sleep pattern disturbance
C0150082,At risk for suffocation
C0150312,Present
C0150583,Fetal Heart Tone
C0150598,Sets goals
C0150618,History and physical examination
C0151208,Nasal cartilage loss
C0151233,Cardiac murmur of MI
C0151347,Synovial biopsy: tenosynovitis
C0151479,Amylase increased
C0151529,Prolonged bleeding time
C0151539,Blood urea increased
C0151578,Creatinine increased
C0151583,Abnormality of the cerebrospinal fluid
C0151598,Decreased Drug Level
C0151599,Increased Drug Level
C0151602,Facial swelling (finding)
C0151611,Electroencephalogram abnormal
C0151613,Electrolytes abnormal
C0151631,Low erythrocyte sedimentation rate
C0151632,Erythrocyte sedimentation rate raised
C0151662,Gamma-Glutamyltransferase Increased
C0151671,Glucose tolerance decreased (finding)
C0151683,Neutrophilia (finding)
C0151684,Granuloma of skin
C0151685,Accelerated Growth
C0151692,Impaired wound healing
C0151740,Intracranial Hypertension
C0151754,Lactate Dehydrogenase Increased
C0151766,Liver function tests abnormal finding
C0151872,Prothrombin time increased (finding)
C0151878,Prolonged QT interval
C0151879,Shortened QT interval
C0151888,Hyporeflexia
C0151889,Hyperreflexia
C0151904,Aspartate Aminotransferase Increased
C0151905,Alanine Aminotransferase Increased
C0151907,Discoloration of skin
C0151934,Hypogeusia
C0151990,Urinary casts present
C0151994,Enlarged uterus
C0151995,Uterine Corpus Degenerated Leiomyoma
C0152009,White blood cell abnormality
C0152030,Skin irritation
C0152031,Joint swelling
C0152191,"Scotoma, Central"
C0154270,Localized adiposity
C0154920,Pigmentary iris degeneration
C0154936,Pupillary abnormality
C0155100,Peripheral opacity of cornea
C0155540,Ear discharge
C0156404,Irregular Menstruation
C0156543,Unspecified Abortion
C0157733,Abnormal hair morphology
C0158915,Exceptionally large baby (disorder)
C0159059,Visible peristalsis
C0159060,Abnormal bowel sounds
C0161008,Foreign body in nose
C0162119,Hemoglobin low
C0162643,treatment failure
C0162703,Pain Threshold
C0178415,Raised prostate specific antigen
C0178808,Preoperative state
C0178815,psychological stressor
C0184511,Improved
C0184512,Stabilized (qualifier value)
C0184544,Medication Risk
C0184570,Peripheral vascular alteration
C0184571,Renal alteration
C0205082,Severe (severity modifier)
C0205160,Negative
C0205161,Abnormal
C0205255,Imprisonment (finding)
C0205400,Thickened
C0205557,False Positive
C0206160,Reticulocytosis
C0206177,Physiologic intraventricular pressure
C0206275,Widowhood
C0206308,Dual diagnosis (psychiatry)
C0220761,Dizygotic twins (disorder)
C0220797,biopsy characteristics
C0220854,Hyperpnea
C0221082,adverse effect due to surgery
C0221101,Pel Ebstein fever
C0221104,Hyperviscosity
C0221158,Multifocal atrial tachycardia
C0221185,Xanthopsia
C0221198,Lesion
C0221203,Vesicular rash
C0221226,Distended umbilical veins
C0221245,Fissure in skin
C0221263,Cafe-au-Lait Spots
C0221621,Chondrocalcinosis present
C0221629,Proximal muscle weakness
C0221690,Syndesmophyte
C0227791,Vaginal Discharge
C0229197,Retinal fold (finding)
C0231170,Disability
C0231173,Invalidism
C0231187,Decompensation
C0231221,Asymptomatic
C0231224,Crisis
C0231225,Pain crisis
C0231246,Failure to gain weight
C0231254,Increased body mass index
C0231255,Decreased body mass index
C0231262,Temperature normal
C0231287,Postoperative state
C0231303,Distress
