cui,name
C0000828,Abreaction
C0001721,Affect (mental function)
C0002957,Anger
C0003808,Arousal
C0004056,Aspirations (Psychology)
C0004083,Mental association
C0004268,Attention
C0004271,Attitude
C0004273,Attitude to Computers
C0004274,Attitude to Death
C0004309,Auditory Perception
C0004404,Autosuggestion
C0004442,Avoidance Learning
C0004448,Awareness
C0005119,Bereavement
C0005891,Body Image
C0007239,Career Choice
C0007952,Personality Character
C0009240,Cognition
C0009395,Color Perception
C0009647,Conditioning (Psychology)
C0010297,Creativity
C0011109,Decision Making
C0011142,Defense Mechanisms
C0011317,Denial (Psychology)
C0011586,Depth Perception
C0012632,Discrimination (process of differentiation)
C0012725,Psychologic Displacement
C0012752,Distance Perception
C0013126,Intrinsic drive
C0013987,Emotions
C0015347,"Extinction, Psychological"
C0015382,"Extraversion, Psychological"
C0015726,Fear (Mental Process)
C0016073,Field Dependence-Independence
C0016770,Frustration
C0017249,Gender Identity
C0017324,"Generalization, Psychological"
C0018235,Grief reaction
C0018379,Guilt
C0018592,Happiness
C0020792,Identification (Psychology)
C0020793,Identity Crisis
C0020913,Imagination
C0021467,Psychological inhibition
C0021704,Intelligence
C0021924,"Introversion, Psychological"
C0022397,Job Satisfaction
C0022423,Judgment
C0023185,Learning
C0023618,Libido
C0024028,Love
C0025260,Memory
C0025265,"Memory, Short-Term"
C0025353,mental health
C0025361,Mental Processes
C0026516,Mood (psychological function)
C0026598,Motion Perception
C0026605,Motivation
C0028325,Nonverbal Communication
C0028758,Pyschological Bonding
C0029139,Optical Illusions
C0029266,Mental Orientation
C0030709,"Pattern Recognition, Visual"
C0030971,Perception
C0030972,Perceptual Closure
C0030974,Perceptual Defense
C0030976,Perceptual distortions
C0030977,Perceptual Masking
C0031208,Personality
C0032074,Cognitive function: planning
C0033205,Probability Learning
C0033363,Projection Defense Mechanism
C0033499,Proprioception
C0034634,Rage
C0034692,Rationalization
C0034763,Reality Testing
C0034770,Mental Recall
C0035007,Psychological reinforcement
C0035010,"Reinforcement, Verbal"
C0035280,Retention (Psychology)
C0035397,Rewards
C0036239,Satiation
C0036240,Satiety Response
C0036591,Self-Assessment
C0036849,Set (Psychology)
C0036938,Shame
C0037322,"Sleep, REM"
C0038272,Stereotyping
C0039474,Temperament
C0039869,"Thinking, function"
C0040226,Time Perception
C0041654,Unconscious Personality Factor
C0042794,"Vision, Binocular"
C0042830,Visual Perception
C0042950,Volition
C0043012,Wakefulness
C0043097,Weight Perception
C0080101,Regret
C0085380,Dental Anxiety
C0086045,Mental concentration
C0150022,Dysfunctional coping using self defense mechanisms
C0150035,Anticipatory grief
C0150041,Feeling hopeless
C0150062,Post-trauma response
C0150081,Spiritual distress
C0150814,Transcendental Meditation
C0152057,Compensation as a Defense Mechanism
C0162340,Comprehension
C0162425,Intention - mental process
C0175631,Imagery
C0178494,Avoidance Behavior
C0178842,Sensory Feedback
C0220929,Mental tolerance
C0229992,Psyche structure
C0233413,Attentiveness
