cui,name
C0000936,Visual Accommodation
C0005167,Beta Rhythm
C0005757,Blinking
C0005778,Blood coagulation
C0005855,Blood-Retinal Barrier
C0005856,Blood-Testis Barrier
C0005935,Bone Conduction
C0005972,Bone Regeneration
C0005974,Bone Resorption
C0006660,Physiologic calcification
C0006906,Capillary Permeability
C0007227,Cardiovascular Physiological Phenomena
C0007818,Cerebrovascular Circulation
C0010067,Coronary Circulation
C0010095,Corpus Luteum Maintenance
C0010096,Luteolysis
C0010985,Dark Adaptation
C0011354,Dental Enamel Solubility
C0011382,Dental Occlusion
C0011431,Dentin Permeability
C0011433,Dentin Solubility
C0012797,Diuresis
C0013010,"Dominance, Cerebral"
C0013936,Embryonic Development
C0014362,Enterohepatic Circulation
C0014819,Erythropoiesis
C0015214,Evoked Potentials
C0015216,Somatosensory Evoked Potentials
C0015217,Visual evoked cortical potential
C0016183,"Fixation, Ocular"
C0016529,Forced expiratory volume function
C0017120,Gastric acidity
C0017127,Gastric Emptying
C0017184,Gastrointestinal Motility
C0018129,Graft Rejection
C0018131,Graft Survival
C0018447,H-Reflex
C0018820,Heart Sounds
C0018951,Hematopoiesis
C0019010,Hemodynamics
C0019116,Hemostatic function
C0020965,Active immunity
C0021055,Immunologic Memory
C0021516,nerve supply
C0021826,Intestinal Absorption
C0021838,Intestinal Motility
C0021880,Intracranial Pressure
C0021888,Physiologic Intraocular Pressure
C0022205,Isometric Contraction
C0022259,Isotonic Contraction
C0022925,Lactation
C0023773,Lipid Mobilization
C0023889,Liver Circulation
C0024112,Lung Compliance
C0024153,Luteal Phase
C0025962,Microcirculation
C0026132,Milk Ejection
C0026828,"Muscle innervation, function"
C0026836,Muscle relaxation phase
C0026841,Muscle Tonus
C0027045,Myocardial Contraction
C0027477,Natriuresis
C0027540,Necrosis
C0027767,Nervous System Physiological Phenomena
C0027788,Nerve conduction function
C0028877,Odontogenesis
C0029213,Organ Specificity
C0029433,Osteogenesis
C0029965,Ovulation
C0029977,"Embryo Implantation, Delayed"
C0030847,Penile Erection
