cui,name
C0000786,Spontaneous abortion
C0000810,Incomplete spontaneous abortion
C0000817,"Abortion, Septic"
C0000821,Threatened abortion
C0000832,Abruptio Placentae
C0000887,Acantholysis
C0001075,Achlorhydria
C0001122,Acidosis
C0001349,Acute-Phase Reaction
C0001364,Massive Hepatic Necrosis
C0001511,Tissue Adhesions
C0002064,"Alkalosis, Respiratory"
C0002940,Aneurysm
C0002994,Angioedema
C0003090,Ankylosis
C0003130,Anoxia
C0003132,Anoxic Encephalopathy
C0003860,Arteritis
C0004044,Asphyxia
C0004144,Atelectasis
C0004239,Atrial Flutter
C0004331,Auriculo-Ventricular Dissociation
C0004368,Autoimmune state
C0004372,Autolysis
C0005001,Benign prostatic hypertrophy
C0005417,Biliary Fistula
C0005959,Bone marrow hyperplasia
C0006110,Brain Death
C0006114,Cerebral Edema
C0006157,Breech Presentation
C0006663,Calcinosis
C0007642,Cellulitis
C0007994,chemically induced
C0008301,Choking
C0008519,Ectopic Tissue
C0008767,Cicatrization
C0009566,Complication
C0009568,Transplanted Organ Complication
C0009760,Conjunctival hemorrhage
C0010037,Corneal edema
C0010392,Crush syndrome
C0010828,Cytopenia
C0011071,Sudden death
C0011103,Decerebrate State
C0011164,Abnormal degeneration
C0011304,Demyelination
C0011378,Dental Leakage
C0012359,Pathological Dilatation
C0013182,Drug Allergy
C0013418,Dystocia
C0013491,Ecchymosis
C0013604,Edema
C0013609,Localized Edema
C0013687,effusion
C0013922,Embolism
C0013926,Air Embolism
C0013928,Fat embolism (disorder)
C0013990,Pathological accumulation of air in tissues
C0014591,Epistaxis
C0014595,Epithelial atrophy
C0014860,Esophageal Perforation
C0015376,Extravasation
C0015402,Eye Hemorrhage
C0015668,Fat necrosis
C0015927,Fetal Death
C0015930,Fetal Distress
C0015944,"Fetal Membranes, Premature Rupture"
C0015959,Fetomaternal Transfusion
C0016059,Fibrosis
C0016385,Cardiac Flutter
C0016398,"Focal Infection, Dental"
C0016470,Food Allergy
C0016549,Foreign-Body Reaction
C0016663,Pathological fracture
C0016665,"Fractures, Ununited"
C0017181,Gastrointestinal Hemorrhage
C0017565,Gingival Hemorrhage
C0017566,Gingival Hyperplasia
C0018128,"Graft Occlusion, Vascular"
C0018134,Graft vs Host Reaction
C0018188,Granuloma
C0018193,"Granuloma, Foreign-Body"
C0018924,Hemarthrosis
C0018944,Hematoma
C0018946,"Hematoma, Subdural"
C0019054,Hemolysis (disorder)
C0019064,Hemopericardium
C0019065,Hemoperitoneum
C0019066,Nontraumatic hemoperitoneum
C0019080,Hemorrhage
C0019123,Hemothorax
C0020224,Polyhydramnios
C0020507,Hyperplasia
C0020517,Hypersensitivity
C0020522,Delayed Hypersensitivity
C0020523,Immediate hypersensitivity
C0020542,Pulmonary Hypertension
C0020546,Hypertensive crisis
C0020564,Hypertrophy
C0020565,Hypertrophy of Breast
C0020581,Hyphema
C0020683,Hypovolemic Shock
C0020963,Immune Tolerance
C0021308,Infarction
C0021359,Infertility
C0021368,Inflammation
C0021376,Chronic inflammation
C0021386,Necrotizing granulomatous inflammation
C0021655,Insulin Resistance
C0021870,Intracerebral hematoma
C0022116,Ischemia
C0022876,Premature Obstetric Labor
C0023052,Laryngeal Edema
C0023182,Cerebrospinal fluid leak
C0023653,Lichenification
C0023869,Lithiasis
C0024050,Lower gastrointestinal hemorrhage
C0024236,Lymphedema
C0024348,Lysis
C0025160,Megacolon
C0025222,Melena
C0025323,Menorrhagia
C0025345,Menstruation Disturbances
C0025874,Metrorrhagia
C0026266,Mitral Valve Insufficiency
C0026766,Multiple Organ Failure
C0026846,Muscular Atrophy
C0027055,Myocardial Reperfusion Injury
C0027544,Necrotic debris
C0027626,Neoplasm Invasiveness
C0027686,Pathologic Neovascularization
C0028778,Obstruction
C0028949,Oligomenorrhea
C0029163,Oral Hemorrhage
C0029396,Heterotopic Ossification
C0029445,Bone necrosis
C0030660,Pathologic Processes
C0030922,Peptic Ulcer Hemorrhage
C0031154,Peritonitis
C0031526,Philadelphia Chromosome
C0031542,Phlebitis
C0031557,Phlegmon
C0032044,Placenta Accreta
C0032046,Placenta Previa
C0032776,Postmenopausal bleeding
C0032780,Postmortem Changes
C0032788,Postoperative Hemorrhage
C0032797,Postpartum Hemorrhage
C0032816,Post-Traumatic Headache
C0032914,Pre-Eclampsia
C0032962,Pregnancy Complications
C0032984,"Pregnancy, Abdominal"
C0032987,Ectopic Pregnancy
C0032993,"Pregnancy, Prolonged"
C0032994,"Pregnancy, Tubal"
C0033074,Presbycusis
C0033785,Pseudarthrosis
C0034012,Delayed Puberty
C0034063,Pulmonary Edema
C0034065,Pulmonary Embolism
C0034088,Pulmonary Valve Insufficiency
C0034194,Pyloric Stenosis
C0034989,"Regurgitation, Gastric"
C0035228,Respiratory Hypersensitivity
C0035229,Respiratory Insufficiency
C0035320,Retinal Neovascularization
C0035357,Retroperitoneal fibrosis
C0035405,Rh Sensitization
C0035410,Rhabdomyolysis
C0035619,"Ventricular Outflow Obstruction, Right"
C0035624,Rigor Mortis
C0035956,"Rupture, Spontaneous"
C0036089,Salivary Duct Calculi
C0036429,Sclerosis
C0036679,Diastasis
C0036974,Shock
