cui,name
C0000809,"Abortion, Habitual"
C0000814,Missed abortion
C0000833,Abscess
C0001125,"Acidosis, Lactic"
C0001126,Renal tubular acidosis
C0001127,"Acidosis, Respiratory"
C0001144,Acne Vulgaris
C0001145,Acne Keloid
C0001175,Acquired Immunodeficiency Syndrome
C0001202,Acrokeratosis
C0001206,Acromegaly
C0001261,Actinomycosis
C0001306,Acute alcoholic liver disease
C0001311,Acute bronchiolitis
C0001314,Acute Disease
C0001339,"Pancreatitis, Acute"
C0001342,Acute periodontitis
C0001344,Acute pharyngitis
C0001361,Acute tonsillitis
C0001363,Acute vascular insufficiency of intestine (disorder)
C0001403,Addison Disease
C0001427,Adenoiditis
C0001486,Adenovirus Infections
C0001519,Adie Syndrome
C0001576,Adnexal Diseases
C0001614,Adrenal Cortex Diseases
C0001621,Adrenal Gland Diseases
C0001622,Adrenal Gland Hyperfunction
C0001623,Adrenal gland hypofunction
C0001627,Congenital adrenal hyperplasia
C0001733,Afibrinogenemia
C0001748,African Horse Sickness
C0001768,Agammaglobulinemia
C0001824,Agranulocytosis
C0001849,AIDS Dementia Complex
C0001857,AIDS related complex
C0001883,Airway Obstruction
C0001889,Akinetic Mutism
C0001957,Alcohol Withdrawal Delirium
C0002063,Alkalosis
C0002103,Atopic rhinitis
C0002170,Alopecia
C0002171,Alopecia Areata
C0002312,alpha-Thalassemia
C0002351,Altitude Sickness
C0002382,Alveolar Bone Loss
C0002390,Extrinsic allergic alveolitis
C0002395,Alzheimer's Disease
C0002438,Amebiasis
C0002445,Ameboma
C0002514,"Amino Acid Metabolism, Inborn Errors"
C0002631,Infection of amniotic cavity
C0002726,Amyloidosis
C0002736,Amyotrophic Lateral Sclerosis
C0002792,anaphylaxis
C0002797,Bovine Anaplasmosis
C0002871,Anemia
C0002873,Anemia of chronic disease
C0002874,Aplastic Anemia
C0002875,Cooley's anemia
C0002878,"Anemia, Hemolytic"
C0002880,Autoimmune hemolytic anemia
C0002884,Hypochromic anemia
C0002886,"Anemia, Macrocytic"
C0002888,"Anemia, Megaloblastic"
C0002891,"Anemia, Neonatal"
C0002893,Refractory anemias
C0002895,"Anemia, Sickle Cell"
C0002949,"Aneurysm, Dissecting"
C0002963,"Angina Pectoris, Variant"
C0002965,"Angina, Unstable"
C0002992,Angiomatosis
C0003028,Anhidrosis
C0003123,Anorexia
C0003128,Anovulation
C0003152,Anterior Compartment Syndrome
C0003165,Anthracosis
C0003175,Anthrax disease
C0003460,Anuria
C0003462,Anus Diseases
C0003486,Aortic Aneurysm
C0003493,Aortic Diseases
C0003496,Aortic Rupture
C0003504,Aortic Valve Insufficiency
C0003507,Aortic Valve Stenosis
C0003615,Appendicitis
C0003708,Arachnoiditis
C0003721,Arbovirus hemorrhagic fever
C0003723,Arbovirus Infections
C0003742,Arcus Senilis
C0003811,Cardiac Arrhythmia
C0003834,Arterial insufficiency
C0003838,Arterial Occlusive Diseases
C0003850,Arteriosclerosis
C0003864,Arthritis
C0003868,"Arthritis, Gouty"
C0003869,"Arthritis, Infectious"
C0003872,"Arthritis, Psoriatic"
C0003873,Rheumatoid Arthritis
C0003892,Neurogenic arthropathy
C0003962,Ascites
C0003969,Ascorbic Acid Deficiency
C0004030,Aspergillosis
C0004031,"Aspergillosis, Allergic Bronchopulmonary"
C0004045,Asphyxia Neonatorum
C0004095,Asthenopia
C0004096,Asthma
C0004099,"Asthma, Exercise-Induced"
C0004135,Ataxia Telangiectasia
C0004153,Atherosclerosis
C0004238,Atrial Fibrillation
C0004245,Atrioventricular Block
C0004364,Autoimmune Diseases
C0004576,Babesiosis
C0004606,Nonproliferative diabetic retinopathy
C0004610,Bacteremia
C0004615,Bacterial Infections and Mycoses
C0004623,Bacterial Infections
C0004626,"Pneumonia, Bacterial"
C0004659,Bacteriuria
C0004690,Balanitis
C0004691,Balanoposthitis
C0004692,Balantidiasis
C0004698,Balkan Nephropathy
C0004763,Barrett Esophagus
C0004767,Cyst of Bartholin's gland duct
C0004775,Bartter Disease
C0004782,Basal Ganglia Diseases
C0004812,Basilar Artery Insufficiency
C0004943,Behcet Syndrome
C0005122,Beriberi
C0005129,Bernard-Soulier Syndrome
C0005283,beta Thalassemia
C0005398,"Cholestasis, Extrahepatic"
C0005416,Biliary Dyskinesia
C0005424,Biliary Tract Diseases
C0005461,Binocular vision disorder
C0005591,Bird Diseases
C0005681,Blackwater Fever
C0005683,Urinary Bladder Calculi (disorder)
C0005686,Urinary Bladder Diseases
C0005694,Bladder neck obstruction
C0005697,Neurogenic Urinary Bladder
C0005716,Blastomycosis
C0005717,Gilchrist Disease
C0005741,Blepharitis
C0005745,Blepharoptosis
C0005747,Blepharospasm
C0005750,Blind Loop Syndrome
C0005779,Blood Coagulation Disorders
C0005818,Blood Platelet Disorders
C0005830,Blood Protein Disorders
C0005859,Bloom Syndrome
C0005940,Bone Diseases
C0005941,"Bone Diseases, Developmental"
C0005943,"Bone Diseases, Infectious"
C0005944,Metabolic Bone Disorder
C0005956,Bone Marrow Diseases
C0006035,Borrelia Infections
C0006060,Boutonneuse Fever
C0006105,Brain Abscess
C0006109,"Brain Damage, Chronic"
C0006111,Brain Diseases
C0006112,"Brain Diseases, Metabolic"
C0006123,Branch Retinal Artery Occlusion
C0006266,Bronchospasm
C0006267,Bronchiectasis
C0006271,Bronchiolitis
C0006272,Bronchiolitis Obliterans
C0006274,"Bronchiolitis, Viral"
C0006277,Bronchitis
C0006285,Bronchopneumonia
C0006287,Bronchopulmonary Dysplasia
C0006309,Brucellosis
C0006384,Bundle-Branch Block
C0006396,Bunyaviridae Infections
C0006430,Burning Mouth Syndrome
C0006444,Bursitis
C0006542,Byssinosis
C0006840,Candidiasis
C0006845,"Candidiasis, Chronic Mucocutaneous"
C0006846,Cutaneous Candidiasis
C0006848,Mucocutaneous candidiasis
C0006849,Oral candidiasis
C0006905,Capillary Fragility
C0007177,Cardiac Tamponade
C0007193,"Cardiomyopathy, Dilated"
C0007194,Hypertrophic Cardiomyopathy
C0007196,Restrictive cardiomyopathy
C0007222,Cardiovascular Diseases
C0007273,Carotid Artery Diseases
C0007282,Carotid Stenosis
C0007286,Carpal Tunnel Syndrome
C0007297,Carsickness
C0007350,Cat Diseases
C0007459,Cauda equina syndrome with neurogenic bladder
C0007570,Celiac Disease
C0007646,Cellulitis of hand
C0007682,CNS disorder
C0007684,Central Nervous System Infection
C0007688,Central Retinal Artery Occlusion
C0007758,Cerebellar Ataxia
C0007760,Cerebellar Diseases
C0007761,Myoclonic Cerebellar Dyssynergia
C0007766,Intracranial Aneurysm
C0007775,Cerebral Atherosclerosis
C0007785,Cerebral Infarction
C0007786,Brain Ischemia
C0007787,Transient Ischemic Attack
C0007789,Cerebral Palsy
C0007815,Cerebrospinal Fluid Rhinorrhea
C0007820,Cerebrovascular Disorders
C0007860,Uterine Cervicitis
C0007868,Cervical dysplasia
C0007933,Meibomian Cyst
C0007947,Chancroids
C0007965,Chediak-Higashi Syndrome
C0008029,Cherubism
C0008043,Chiari-Frommel Syndrome
C0008049,Chickenpox
C0008058,Chilblains
C0008149,Chlamydia Infections
C0008153,Chlamydiaceae Infections
C0008311,Cholangitis
C0008312,Primary Biliary Cholangitis
C0008313,"Cholangitis, Sclerosing"
C0008325,Cholecystitis
C0008350,Cholelithiasis
C0008354,Cholera
C0008370,Cholestasis
C0008372,Intrahepatic Cholestasis
C0008373,Cholesteatoma
C0008449,Congenital anomaly of cartilage
C0008489,Chorea
C0008495,Chorioamnionitis
C0008513,Chorioretinitis
C0008521,Choroid Diseases
C0008526,Choroiditis
C0008533,Hemophilia B
C0008582,Chromoblastomycosis
C0008677,"Bronchitis, Chronic"
C0008679,Chronic disease
C0008680,Cryptogenic pulmonary eosinophilia
C0008681,Chronic ethmoidal sinusitis
C0008683,Chronic frontal sinusitis
C0008698,Chronic maxillary sinusitis
C0008707,Chronic osteomyelitis
C0008711,Chronic rhinitis
C0008712,Chronic sphenoidal sinusitis
C0008715,Chronically Ill
C0008728,Eosinophilic granulomatosis with polyangiitis
C0008732,Chylous Ascites
C0008733,Chylothorax
C0008780,Ciliary Motility Disorders
C0009062,Clostridium Infections
C0009088,Cluster Headache
C0009186,Coccidioidomycosis
C0009187,Coccidiosis
C0009197,Cochlear Diseases
C0009319,Colitis
C0009324,Ulcerative Colitis
C0009326,Collagen Diseases
C0009377,Colonic Pseudo-Obstruction
C0009398,Color vision defect
C0009400,Colorado Tick Fever
C0009421,Comatose
C0009443,Common Cold
C0009447,Common Variable Immunodeficiency
C0009450,Communicable Diseases
C0009451,Communicating Hydrocephalus
C0009492,Compartment syndromes
C0009663,Condylomata Acuminata
C0009763,Conjunctivitis
C0009768,Bacterial conjunctivitis
C0009773,"Conjunctivitis, Vernal"
C0009774,Viral Conjunctivitis
C0009782,Connective Tissue Diseases
C0009952,Febrile Convulsions
C0010043,Corneal Ulcer
C0010051,Coronary Aneurysm
C0010054,Coronary Arteriosclerosis
C0010068,Coronary heart disease
C0010072,Coronary Thrombosis
C0010073,Coronary Artery Vasospasm
C0010078,Coronaviridae Infections
C0010093,Corpus Luteum Cyst
C0010246,Coxsackievirus Infections
C0010266,Cranial nerve diseases
C0010278,Craniosynostosis
C0010340,Critical Illness
C0010346,Crohn Disease
C0010356,Cross Infection
C0010380,Croup
C0010403,Cryoglobulinemia
C0010414,Infection by Cryptococcus neoformans
C0010418,Cryptosporidiosis
C0010474,Curling Ulcer
C0010481,Cushing Syndrome
C0010495,Cutis Laxa
C0010543,Cyclitis
C0010674,Cystic Fibrosis
C0010678,Cysticercosis
C0010692,Cystitis
C0010709,Cyst
C0010823,Cytomegalovirus Infections
C0010930,Dacryocystitis
C0011119,Decompression Sickness
C0011127,Pressure Ulcer
C0011168,Deglutition Disorders
C0011175,Dehydration
C0011269,"Dementia, Vascular"
C0011302,Demyelinating disease of central nervous system
C0011303,Demyelinating Diseases
C0011334,Dental caries
C0011346,Dental Deposits
C0011389,Dental Plaque
C0011407,Dental Pulp Necrosis
C0011432,Dentin Sensitivity
C0011434,"Dentin, Secondary"
C0011603,Dermatitis
C0011606,Exfoliative dermatitis
C0011609,Drug Eruptions
C0011615,"Dermatitis, Atopic"
C0011616,Contact Dermatitis
C0011620,Stasis dermatitis
C0011630,Dermatomycoses
C0011633,Dermatomyositis
C0011636,Dermatophytosis
C0011644,Scleroderma
C0011847,Diabetes
C0011848,Diabetes Insipidus
C0011849,Diabetes Mellitus
C0011854,"Diabetes Mellitus, Insulin-Dependent"
C0011860,"Diabetes Mellitus, Non-Insulin-Dependent"
C0011875,Diabetic Angiopathies
C0011880,Diabetic Ketoacidosis
C0011881,Diabetic Nephropathy
C0011882,Diabetic Neuropathies
C0011884,Diabetic Retinopathy
C0011974,Diaper Rash
C0012147,Dientamoebiasis
C0012236,DiGeorge Syndrome
C0012242,Digestive System Disorders
C0012546,Diphtheria
C0012555,Cutaneous diphtheria
C0012619,disc disorder
C0012624,Discitis
C0012634,Disease
C0012736,Dissecting aortic aneurysm
C0012739,Disseminated Intravascular Coagulation
C0012813,Diverticulitis
C0012814,Colonic Diverticulitis
C0012819,Diverticular disease of colon
C0012979,Dog Diseases
C0013080,Down Syndrome
C0013238,Dry Eye Syndromes
C0013240,Alveolar periostitis
C0013288,Dumping Syndrome
C0013289,Duodenal Diseases
C0013295,Duodenal Ulcer
C0013298,Duodenitis
C0013363,Dysautonomia
C0013364,"Dysautonomia, Familial"
C0013369,Dysentery
C0013370,Amebic colitis
C0013371,Shigella Infections
C0013384,Dyskinetic syndrome
C0013390,Dysmenorrhea
C0013394,Dyspareunia (female)
C0013447,Ear Diseases
C0013537,Eclampsia
C0013570,"Ecthyma, Contagious"
C0013592,Ectropion
C0013595,Eczema
C0013720,Ehlers-Danlos Syndrome
C0013927,"Embolism, Amniotic Fluid"
C0014008,Empty Sella Syndrome
C0014009,Empyema
C0014013,"Empyema, Pleural"
C0014014,"Empyema, Tuberculous"
C0014038,Encephalitis
C0014053,"Encephalitis, California"
C0014055,Arbovirus encephalitis
C0014059,"Encephalomyelitis, Acute Disseminated"
C0014060,"Encephalitis, St. Louis"
C0014061,Tick-Borne Encephalitis
C0014070,Encephalomyelitis
C0014073,"Encephalomyelitis, Enzootic Porcine"
