cui,name
C0001559,Inhalation Drug Administration
C0001758,Aftercare
C0002423,ambulatory care services
C0004908,Bed Conversion
C0005824,Blood pressure determination
C0007436,"Catheterization, Peripheral"
C0007698,Centralized Hospital Services
C0008076,Child Guidance
C0008078,Child health care
C0008093,Child Welfare
C0009449,Communicable Disease Control
C0009585,Comprehensive Dental Care
C0009586,Comprehensive Health Care
C0009818,Consultation
C0009853,Continuity of Patient Care
C0010210,Counseling
C0010337,Care of intensive care unit patient
C0011017,"Day Care, Medical"
C0011143,Defensive Medicine
C0011211,Delivery of Health Care
C0011332,Dental Care for Disabled
C0011365,Dental Health Services
C0011396,Denture Repair
C0012158,Diet Surveys
C0012159,Diet therapy
C0012622,Discharge Planning
C0013164,Drug Compounding
C0013191,Drug Labeling
C0013893,Eligibility Determination
C0013961,Emergency medical service
C0015187,Euthanasia
C0016471,Food Inspection
C0016615,Foster Home Care
C0017313,patient care
C0017463,Geriatric Assessment
C0018570,Hand Disinfection
C0018693,Health Care Rationing
C0018726,Health Plan Implementation
C0018747,Health Services
C0018749,Health Services Administration
C0019700,HIV Seroprevalence
C0019855,Home Care Services
C0019860,Home Nursing
C0019948,Hospital Administration
C0019978,Hospital Planning
C0019982,Hospital Referral
C0019993,Hospitalization
C0020042,Hotlines
C0020043,Home visit (procedure)
C0021626,Institutional Practice
C0021634,Insufflation
C0021677,Insurance Claim Review
C0021682,Health Insurance
C0021685,"Insurance, Hospitalization"
C0021688,"Insurance, Long-Term Care"
C0021694,"Insurance, Psychiatric"
C0021695,"Insurance, Surgical"
C0021711,Neonatal Intensive Care
C0021889,Intraoperative Care
C0023677,Life Support Care
C0023977,long-term care
C0024870,Mass Screening
C0024913,"Materials Management, Hospital"
C0025076,"Medical Decision Making, Computer-Assisted"
C0025084,Medical History Taking
C0025355,Mental Health Services
C0026426,Blood pressure monitoring
C0027452,National Health Insurance
C0028079,Night Care
C0028682,Care given by nurses
C0028704,"Nursing, Team"
C0028900,Office Visits
C0030546,Parental Notification
C0030610,Partnership Practice
C0030672,Patient Acceptance of Health Care
C0030673,Patient Admission
C0030674,Patient advocacy
C0030677,Patient Care Management
C0030678,Patient Care Planning
C0030679,Patient Care Team
C0030685,Patient Discharge
C0030695,Patient Monitoring
C0030698,Patient Outcome Assessment
C0030699,Patient Participation
C0030700,Patient Readmission
C0030704,Patient Transfer
