cui,name
C0001802,Agglutination Tests
C0001852,AIDS Serodiagnosis measurement
C0002778,Analysis of substances
C0004618,Bacterial Count Measurement
C0004642,Bacteriological Techniques
C0004650,Bacteriophage Typing
C0005507,Biological Assay
C0005643,Bismuth Assay
C0005729,Bleeding time procedure
C0005771,Blood Cell Count
C0005774,Blood Chemical Analysis
C0005790,Blood coagulation tests
C0005800,Blood Gas Analysis
C0005809,Blood Grouping and Crossmatching
C0005831,Blood Protein Electrophoresis
C0005833,Blood Sedimentation
C0005844,Blood typing procedure
C0005845,Blood urea nitrogen measurement
C0005861,Northern Blotting
C0005862,Southern blot assay (procedure)
C0006101,Bradykinin Assay
C0006950,Carbamazepine measurement
C0007584,Cell Count
C0007585,Cell Culture Techniques
C0007616,Cell Separation
C0007703,Centrifugation
C0007706,"Centrifugation, Zonal"
C0008555,Gas Chromatography
C0008559,Gel Chromatography
C0008562,High pressure liquid chromatography procedure
C0008569,Thin Layer Chromatography
C0009069,Clot retraction procedure
C0009385,Colony-Forming Units Assay
C0009555,Complete Blood Count
C0009961,Coombs Test
C0010367,"Crossmatching, Blood"
C0010405,Cryopreservation
C0010818,Cytological Techniques
C0013207,"Drug Screening Assays, Antitumor"
C0013845,Electron Spin Resonance Spectroscopy
C0013855,Electrophoresis
C0013859,"Electrophoresis, Disc"
C0013861,"Electrophoresis, Paper"
C0014440,Clinical Enzyme Tests (procedure)
C0014441,Enzyme-Linked Immunosorbent Assay
C0014772,Red Blood Cell Count measurement
C0014779,Erythrocyte Indices
C0016197,Flame Ionization
C0016318,Fluorescent Antibody Technique
C0016350,Fluoroimmunoassay
C0016456,Food Analysis
C0016640,Chemical fractionation
C0016698,Freeze Drying
C0016700,Freeze Fracturing
C0017741,Glucose tolerance test
C0018905,Hemagglutination test
C0018935,Hematocrit procedure
C0018941,Hematologic Tests
C0019633,Histocompatibility Testing
C0019637,Histological Techniques
C0020935,Imipramine Assay
C0020980,Immunoassay method
C0020985,Immunoblotting
C0021002,Immunoenzyme Techniques
C0021060,Immunologic Techniques
C0021061,Immunologic Tests
C0022662,Kidney Function Tests
C0022885,Laboratory Procedures
C0023508,White Blood Cell Count procedure
C0023901,Liver Function Tests
C0024751,Manometry
C0024868,Gas Chromatography-Mass Spectrometry
C0025951,Microbiological Techniques
C0025994,Micromanipulation
C0026018,Microscopy
C0026019,Electron Microscopy
C0026022,"Microscopy, Fluorescence"
C0026024,"Microscopy, Phase-Contrast"
C0026025,"Microscopy, Polarization"
C0026380,Molecular Probe Techniques
C0027692,Nephelometry
C0027944,Neutralization Tests
C0027945,Neutron Activation Analysis
C0029205,Organ Culture Techniques
C0030058,oxygen extraction
C0030291,Pancreatic Function Test
C0030605,Activated Partial Thromboplastin Time measurement
C0030625,Passive Cutaneous Anaphylaxis
C0031067,Periodic Acid-Schiff Reaction
C0032004,Pituitary Function Tests
C0032181,Platelet Count measurement
C0032184,Platelet Function Tests
C0033085,Biologic Preservation
C0033707,Prothrombin time assay
C0033779,Prussian Blue Reaction
C0034554,Radioallergosorbent Test
C0034580,Radioimmunoassay
C0034584,Radioimmunoprecipitation Assay
C0035269,Restriction Mapping
C0036406,Scintillation Counting
