cui,name
C0001161,Acoustic Impedance Tests
C0001616,Adrenal Cortex Function Tests
C0001884,Airway Resistance Test
C0002627,Amniocentesis
C0002971,Angiocardiography
C0002978,angiogram
C0002979,"Angiography, Digital Subtraction"
C0003515,Aortography
C0003647,Aptitude Tests
C0003844,Arteriography
C0003885,Arthrogram
C0003904,Arthroscopy
C0004286,Audiometry
C0004339,Auscultation
C0004398,Autopsy
C0004972,Bender-Gestalt Test
C0005558,Biopsy
C0005560,Needle biopsy procedure
C0005776,blood flow measurement
C0005803,Blood Glucose Self-Monitoring
C0005834,Collection of blood specimen for laboratory procedure
C0005893,Body mass index procedure
C0005933,Biopsy of bone
C0005954,Bone marrow biopsy
C0006153,Breath Tests
C0006265,Bronchial Provocation Tests
C0006282,Contrast bronchogram
C0006290,Bronchoscopy
C0006293,Bronchospirometry
C0007089,Carcinogenicity Tests
C0007185,"Cardiography, Impedance"
C0007208,Cardiotocography
C0007438,Swan-Ganz Catheterization
C0007723,Cephalometry
C0007767,Cerebral Angiography
C0008307,Cholangiography
C0008310,Endoscopic Retrograde Cholangiopancreatography
C0008327,Cholecystography
C0008509,Chorionic Villi Sampling
C0009378,colonoscopy
C0010702,Cystoscopy
C0011410,Dental Pulp Test
C0011900,Diagnosis
C0011904,"Diagnostic Techniques, Cardiovascular"
C0011905,Computer Assisted Diagnosis
C0011906,Differential Diagnosis
C0011908,"Diagnostic Techniques, Otological"
C0011909,"Diagnostic Techniques, Endocrine"
C0011911,Laboratory Diagnosis
C0011914,"Diagnosis, Oral"
C0011918,"Diagnostic Techniques, Surgical"
C0011919,"Diagnostic Techniques, Urological"
C0011923,Diagnostic Imaging
C0011930,"Diagnostic Tests, Routine"
C0013516,Echocardiography
C0013518,Contrast echocardiography procedure
C0013520,"Echocardiography, Doppler"
C0013798,Electrocardiogram
C0013799,"Electrocardiography, Ambulatory"
C0013801,Holter Electrocardiography
C0013819,Electroencephalography
C0013839,Electromyography
C0013853,Electronystagmography
C0014245,Endoscopy (procedure)
C0014873,Esophagoscopy
C0015260,Exercise stress test
C0015945,Fetal Monitoring
C0016234,Flexible fiberoptic sigmoidoscopy
C0016313,Fluorescein Angiography
C0016356,Fluoroscopy
C0017121,Gastric Acidity Determination
C0017191,Gastrointestinal transit procedure
C0017195,Endoscopy of stomach
C0017654,Glomerular Filtration Rate
C0017728,Glucose Clamp Technique
C0018786,Hearing Tests
C0018793,Heart Auscultation
C0018795,Cardiac Catheterization Procedures
C0018803,Heart Function Tests
C0020710,Hysteroscopy
C0020940,Immersion Investigative Technique
C0021044,Immunohistochemistry
C0021705,Intelligence Tests
C0021819,"Interview, Psychological"
C0021881,Intradermal Tests
C0023072,Laryngoscopy
C0024119,Pulmonary function tests
C0024129,Lung Volume Measurements
C0024485,Magnetic Resonance Imaging
C0024487,Magnetic Resonance Spectroscopy
C0026014,Micropunctures
C0026995,Myelography
C0027431,Nasal Provocation Tests
C0027646,Diagnostic Neoplasm Staging
C0027853,Neurologic Examination
C0027902,Neuropsychological Tests
C0028792,Occult blood screen
C0029090,Ophthalmoscopy
C0030198,Pain Measurement
C0030247,Palpation
C0030646,Patch Tests
C0030735,Peak expiratory flow rate measurement
C0030987,Percussion
C0031150,Laparoscopy
C0031213,Personality inventories
C0031214,Personality Tests
C0031545,Venography - procedure
C0031734,Photic Stimulation
C0032283,"Pneumomediastinum, Diagnostic"
C0032322,"Pneumoperitoneum, Artificial"
C0032323,Pneumoradiography
C0032743,Positron-Emission Tomography
C0032976,Pregnancy Tests
C0033053,Prenatal Diagnosis technique
C0033251,Proctoscopy
C0033903,Psychological Techniques
C0033905,Psychological Tests (procedure)
C0034108,"Oximetry, Pulse"
C0034573,"Radiography, Abdominal"
C0034575,"Radiography, Dental"
C0034578,"Radiography, Interventional"
C0034579,Panoramic Radiography
C0034606,Radionuclide Imaging
C0034941,Pupillary reflex test
C0035227,Respiratory Function Tests
C0037075,Sigmoidoscopy (procedure)
C0037295,Skin Test End-Point Titration
C0037296,Hypersensitivity skin testing
C0037981,Spirometry
C0039451,Telemetry
C0039810,thermography
C0039985,Plain chest X-ray
C0040345,Uterine Monitoring
C0040395,tomography
C0040398,"Tomography, Emission-Computed"
C0040399,"Tomography, Emission-Computed, Single-Photon"
C0040404,"Tomography, X-Ray"
C0040405,X-Ray Computed Tomography
C0040420,Tonometry
C0040656,Cutaneous Oximetry
C0040706,Transillumination
C0040862,Trial of Labor
C0041290,Tuberculin Test
C0041618,Ultrasonography
C0042070,Urography
C0042293,Valsalva Maneuver
C0042434,Vectorcardiography
C0042596,Vestibular Function Tests
C0042792,Vision Screening
C0042793,Vision Tests
C0042815,Visual Analog Pain Scale
C0042825,Visual field study
C0043161,Whole-Body Counting
C0043299,Diagnostic radiologic examination
C0079304,Esophagogastroduodenoscopy
C0079595,Imaging Techniques
C0079637,"Monitoring, Intraoperative"
C0080264,"Ultrasonography, Mammary"
C0080265,"Ultrasonography, Prenatal"
C0085532,Coronary angiography
C0085704,Exploratory laparotomy
C0085814,Anonymous Testing
C0085846,Fine-needle biopsy
C0086143,Diagnostic tests
C0086305,Fluorescence Angiography
C0150496,Cardiac monitoring
C0150866,Biopsy of skin procedure
C0150887,Synovial biopsy
C0162481,Doppler Ultrasound (procedure)
C0162650,Intrauterine Cordocentesis
C0162701,Polysomnography
C0162734,Echo-Planar Imaging
C0177666,Percutaneous Breast Biopsy
C0177804,Bone Mineral Density Test
C0178862,Thermometry
C0184646,Mental health screening
C0184899,Exploratory incision
C0184921,Excision biopsy
C0184980,Endoscopic biopsy
C0185283,Muscle biopsy
C0189024,Endoscopy of nose
C0189025,Nasopharyngoscopy
C0189281,Direct laryngoscopy with biopsy
C0189391,Fiberoptic bronchoscopy
C0189396,Bronchoscopy and biopsy of bronchus
C0189785,Endomyocardial biopsy (procedure)
C0189896,Catheterization of right heart
C0189897,Catheterization of left heart
C0190482,Biopsy of temporal artery
C0190979,Venous blood sampling
C0191244,Biopsy of pericardium
C0191321,Punch biopsy of skin (procedure)
C0192152,Wedge Biopsy
C0192232,Pharyngoscopy
C0192466,Esophagogastroscopy
C0192472,Endoscopic biopsy of stomach
C0192919,Sigmoidoscopy with biopsy
C0193050,Biopsy of rectum (procedure)
C0193114,Biopsy of anus
C0193156,Endoscopic biopsy of rectum
C0193388,Biopsy of liver (procedure)
C0193504,Endoscopic retrograde cholangiography
C0194073,Kidney biopsy
C0194595,Endoscopy of urethra
C0195314,Cervical biopsy (procedure)
C0195324,Conization
C0199221,Bimanual examination
C0199230,Screening for cancer
C0199231,Screening for venereal disease
C0199551,Cardiac electrophysiologic stimulation and recording study
C0199666,Measurement of central venous pressure
C0199747,Allergy testing
C0199900,Rectal examination
C0200045,Manual pelvic examination (procedure)
C0200048,Vaginal Examination
C0200068,Contraction stress test
C0200069,Infertility study
C0200125,Nerve conduction study
C0200150,Visual acuity testing
C0201971,Cosyntropin test
C0202616,"Radiologic examination, osseous survey, complete"
C0202670,MRI without contrast
C0202671,MRI with contrast
C0202691,CAT scan of head
C0202784,Routine chest X-ray
C0202823,Chest CT
C0202840,CT of abdomen with contrast
C0202910,Pulmonary Arteriogram
C0202930,Renal arteriography (procedure)
C0203057,Upper gastrointestinal tract series
C0203075,Barium Enema
C0203085,Percutaneous transhepatic cholangiography
C0203108,Intravenous pyelogram (procedure)
C0203110,Retrograde pyelogram
C0203126,Cystography
C0203201,Magnetic Resonance Imaging (MRI) of Pelvis
C0203378,"Echocardiography, Three-Dimensional"
C0203379,"Echocardiography, Four-Dimensional"
C0203408,Echography of kidney
C0203418,Transvaginal echography
C0203425,Fetal biophysical profile
C0203634,Nuclear medicine procedure
C0203668,Radioisotope scan of bone
C0203669,Whole Body Imaging
C0203683,Radioisotope scan of lung
C0203762,Hepatobiliary Iminodiacetic Acid Scan
C0203860,Imaging of brain
C0206054,"Echocardiography, Transesophageal"
C0206065,Karnofsky Performance Status
C0206077,"Ultrasonography, Doppler, Transcranial"
C0220908,Screening procedure
C0221533,cardiography
C0231628,Bowstring test
C0231664,Allen test
C0231723,Ortolani's test procedure
C0232029,Airway conductance
C0242844,"Ultrasonography, Doppler, Color"
C0242845,"Ultrasonography, Doppler, Duplex"
C0242846,"Ultrasonography, Doppler, Pulsed"
C0242876,"Blood Pressure Monitoring, Ambulatory"
C0242880,Tilt-Table Test
C0242882,"Monitoring, Ambulatory"
C0242890,Toxicity Tests
C0243032,Magnetic Resonance Angiography
C0260074,Ophthalmoscope and ophthalmoscopy
C0262485,Flash
C0281588,Assessment of quality of life
C0282493,Surgical Endoscopy
C0282596,"Magnetic Resonance Imaging, Cine"
C0282662,Bedside Testing
C0282674,Remote Consultation
C0332140,"Diagnosis, clinical"
C0372299,Percutaneous Biopsy of Kidney
C0372629,Fetal non-stress test
C0373345,Transrectal Ultrasound
C0373440,Cerebral blood flow radionuclide study
C0374190,Anorectal manometry
C0376443,Endoscopic Ultrasound
C0376444,Echo Endoscopy
C0376529,Capnography
C0392823,Direct examination of larynx
C0396473,Bronchoscopic irrigation
C0401276,Diagnostic endoscopic examination of ureter
C0401640,Needle biopsy of prostate
C0401641,Transrectal biopsy of prostate
C0404066,Endometrial scraping
C0405917,Limited thoracotomy
C0411904,Radiography of elbow
C0412110,Hypotonic duodenography
C0412118,Double contrast barium enema (procedure)
C0412155,Retrograde cystography
C0412156,Stress cystogram
C0412159,Retrograde urethrogram
C0412198,Fistulography
C0412290,Peripheral angiography
C0412375,Radioisotope scan of lymphatic system
C0412472,Total body water measurement
C0412512,Ultrasound study of eye
C0412564,Fetal echocardiography
C0412585,CAT scan of brain
C0412670,Digital slit-beam radiograph
C0412692,Magnetic Resonance Imaging (MRI) of Heart
C0419349,Femoral artery puncture for laboratory test
C0419358,Exploration with a probe
C0419360,Slit lamp biomicroscopy (procedure)
C0422392,Screening Method
C0427316,Calf squeeze test
C0429089,Electrocardiogram Q waves test
C0430022,diagnostic procedure
C0430153,Gastrointestinal apt test
C0430161,Secretin Stimulation Test
C0430449,Forensic examination
C0430462,Transthoracic echocardiography
C0430467,Cardiac Electrophysiology
C0430501,Microscopic Angioscopy
C0430511,Vital capacity test
C0430561,Skin prick test
C0430689,Electromyography of stomach
C0430797,Electrocorticogram
C0430838,Quantitative sensory test
C0430862,Applanation tonometry
C0430876,Fluorescence Imaging
C0430888,Intraocular pressure test
C0431056,Photography of patient
C0431080,Diagnostic assessment
C0441621,Sampling - Surgical action
C0441633,Scanning
C0441677,Accelerometry
C0442842,Conventional angiography
C0444186,Smear test
C0451306,Mini-mental state examination
C0455973,Retinoscopy
C0456852,Image-Guided Biopsy
C0456853,CT guided biopsy
C0457276,Radiographic imaging - action
C0457575,Finger-prick sampling (procedure)
C0472844,Fiberoptic esophagoscopy
C0472851,Rigid esophagoscopy
C0473935,Radiolabeled somatostatin analog study
C0474783,Delayed hypersensitivity skin test for phytohemagglutinin
C0489438,APACHE II score
C0489482,Ejection fraction (procedure)
