cui,name
C0001283,Activator Appliances
C0001512,Adhesive bandage
C0002422,Ambulances
C0003835,Arterial Lines
C0003911,Articulators
C0004185,Atomizers
C0004726,Bandage
C0005513,Biological Dressings
C0005557,Bioprosthesis device
C0005825,Continuous Sphygmomanometers
C0005975,Bone Screws
C0005978,Bone Wires
C0006086,Braces-Orthopedic appliances
C0007348,"Casts, Surgical"
C0007439,Indwelling Catheter
C0007963,Charts (device)
C0008034,Chest Tubes
C0009346,Balloon pump
C0009653,"Condoms, Male"
C0009836,Contact Lenses
C0009838,"Contact Lenses, Hydrophilic"
C0009886,Contraceptive Devices
C0009887,"Contraceptive Devices, Female"
C0009890,"Contraceptive Devices, Male"
C0010317,Cribs
C0010384,"Prostheses, Dental, Fixed, Crown, Total, Temporary"
C0010397,Crutches
C0011326,Dental articulators
C0011355,Dental Equipment
C0011373,"Implantable dental prosthesis, device"
C0011377,Dental Instruments
C0011381,Dental Models
C0011388,Dental Pins
C0011394,Dentures
C0011450,Denture Liners
C0011460,"Denture, Partial"
C0011461,"Denture, Partial, Fixed"
C0013119,Medical dressing
C0013194,Drug Packaging
C0013761,"Stockings, Elastic"
C0013962,Emergency Medical Tags
C0014243,Endoscopes
C0015417,Ocular Prosthesis
C0015421,Eyeglasses
C0016266,Flowmeters
C0016533,Forceps
C0017004,Gamma Cameras
C0017108,Gas Scavengers
C0017124,Gastric Balloon
C0017230,Geiger-Mueller Counters
C0018768,Hearing Aids
C0018825,Heart Valve Prosthesis
C0018829,"Heart, Artificial"
C0018830,Heart-Lung Machine
C0018831,Heart-Assist Devices
C0021102,Implants
C0021436,Infusion Pump
C0021438,"Infusion Pumps, Implantable"
C0021461,Inhaler
C0021639,Insufflator
C0021648,Insulin Infusion Systems
C0021900,Intrauterine Devices
C0021901,"Intrauterine Devices, Copper"
C0021902,"Intrauterine Devices, Medicated"
C0022414,Joint Prosthesis (device)
C0022678,"Kidneys, Artificial"
C0022748,Knee joint prosthesis (device)
C0023036,Laparoscopes
C0023081,Laryngeal Prosthesis
C0023319,Intraocular lens implant device
C0023692,Ligature
C0024861,Masks
C0024962,Maxillofacial Prosthesis
C0025080,Medical Devices
C0025973,Microelectrodes
C0026642,Mouth Protectors
C0027524,Nebulizers
C0027525,Nebulizers and Vaporizers
C0027551,Needle device
C0028791,Occlusive Dressings
C0029331,Orthodontic Appliances
C0029352,Orthopedic Equipment
C0029353,Orthopedic Fixation Devices
C0029365,Orthotic Devices
C0030067,Oxygenators
C0030163,Artificial cardiac pacemaker
C0030172,Pacifiers
C0030216,Palatal Obturators
C0030850,Penile Prosthesis
C0031246,Pessaries
C0033250,Proctoscopes
C0036405,Scintillation Counters
C0036605,Self-Help Devices
C0037816,Speculum
C0038009,Splint Device
C0038257,"Stent, device"
C0038348,Compression Stockings
C0038916,Surgical Clamps
C0038917,Surgical Clips
C0038923,Surgical Equipment
C0038928,Surgical Instruments
C0038930,Surgical Mesh
C0038937,Surgical Sponges
C0038969,Surgical sutures
C0039142,Syringes
C0039288,Tampons
C0039818,"Thermometer, device"
C0040289,Tissue Expansion Devices
C0040519,Tourniquets
C0040661,Transducers
C0040662,"Transducers, Pressure"
C0041208,Trusses
C0042241,Vaginal contraceptive diaphragm (device)
C0042497,Mechanical Ventilator
C0042498,Negative-Pressure Ventilators
C0043016,Walkers
C0043143,wheelchair
C0043303,X-Ray Film
C0076833,container tops
C0079321,External Fixation Devices
C0079635,Internal Fixators
C0085071,"Denture, Partial, Fixed, Resin-Bonded"
C0085099,Incontinence pads
C0085104,Drug Delivery Systems
C0085275,Rubber Dams
C0085428,Orthodontic Brackets
C0085590,catheter device
C0085678,Nasogastric tube
C0085734,Absorbent Pads
C0085842,Artificial Ventricle
C0086510,Kirschner Wires
C0087153,Ventilator - respiratory equipment
C0122734,"Bandages, Hydrocolloid"
C0150414,"tubes, esophageal, blakemore"
C0150554,Douche device
C0150683,"Artificial Airways, Nasopharyngeal"
C0150694,"Artificial Airways, Oropharyngeal"
C0150740,Flatus tube
C0150789,Patient Holding Stretchers
C0150798,Suprapubic catheter
C0162528,Occlusal Splints
C0162589,Implantable defibrillator
C0162645,Laryngeal Masks
C0175640,Baths (medical device)
C0175641,Cauteries Device
C0175643,Medical Elevators
C0175645,Heel Device
C0175648,Mats
C0175649,Prosthesis
C0175659,Weight measurement scales
C0175661,Peritoneovenous Shunts
C0175662,Ventriculoperitoneal catheter
C0175663,Sounds device
C0175718,Medical pins
C0175722,Clip
C0175723,Bands
C0175726,Hyperbaric chamber
C0175729,Uterine sound
C0175730,biomedical tube device
C0175731,T-tube
C0175733,Arterial cannula
C0175735,Scissors (device)
C0175751,Cervical collar (device)
C0178483,aortic balloon pump
C0178951,Accelerometer
C0178987,Artificial Airways
C0179031,Ampule
C0179064,Anesthesia machine
C0179129,Apron
C0179144,Arthroscopes
C0179181,"APPARATUS, AUTOTRANSFUSION"
C0179199,"Balance, device"
C0179204,Nasal balloon
C0179212,Pressure bandage
C0179228,Emesis basin
C0179245,Water Bath
C0179263,Bedpans
C0179281,Pediatric bed
C0179298,Bile collection bag
C0179302,"Binder, device"
C0179303,Abdominal binder
C0179310,Biofeedback system
C0179321,Bite block
C0179323,Blades (device)
C0179326,"BLADE, SCALPEL"
C0179334,Bleeding time kit
C0179335,Blood administration set
C0179381,Hot/Cold Water Bottles
C0179390,Bougie
C0179392,Esophageal bougie
C0179393,Urethral bougie
C0179419,Breathing bag
C0179423,Breathing circuit (physical object)
C0179432,Bronchoscopes
C0179456,"BRUSH, SCRUB, OPERATING-ROOM"
C0179479,Butterfly needle
C0179504,Electrocardiogram lead (device)
C0179574,Nasal Cannula
C0179577,Sinus cannula
C0179583,Venous cannula
C0179591,"CUFF, NERVE"
C0179602,Carbon monoxide analyzer
C0179605,Cardiac compression board
C0179608,Cardiac monitors
C0179630,Cartridge device
C0179650,"CART, EMERGENCY, CARDIOPULMONARY (EXCLUDING EQUIPMENT)"
C0179686,Orthopedic Cast
C0179695,Catheter introducer
C0179724,Cardiac Catheters
C0179732,"Pulmonary artery catheter, oximetric"
C0179740,Peripherally inserted central catheter (physical object)
C0179743,"CATHETER, CHOLANGIOGRAPHY"
C0179747,Dialysis catheter
C0179752,Esophageal balloon
C0179760,Hemodialysis catheter
C0179766,Intrauterine catheter
C0179768,Peripheral intravenous catheter
C0179783,Peritoneal dialysis catheter
C0179785,"CATHETER, SEPTOSTOMY"
C0179788,Suction catheter
C0179790,Pulmonary artery flotation catheter
C0179795,Tracheal suction catheter
C0179797,"Catheters, Vascular, Umbilical"
C0179799,Ureteral Catheters
C0179800,Urethral Catheters
C0179802,Urinary catheter
C0179804,"CATHETER, FOLEY"
C0179805,"CATHETER, STRAIGHT"
C0179834,Centrifuges (device)
C0179837,Cytological centrifuge
C0179955,Vascular clamp
C0179958,Cleaning Device
C0179986,"CLIP, NOSE"
C0179993,Vena cava clip
C0180006,Cold pack (medical device)
C0180008,Ostomy Collar
C0180022,Colonoscopes
C0180053,Compresses (device)
C0180063,compressor
C0180094,Contact Lens Case
C0180158,"COVER, BURR HOLE"
C0180167,"COVER, MATTRESS (MEDICAL PURPOSES)"
C0180170,Shoe cover
C0180236,Curette
C0180249,Cushion
C0180274,Cystoscopes
C0180279,Flow Cytometer
C0180297,"TESTER, DEFIBRILLATOR"
C0180301,Defibrillator paddle
C0180306,Pacemakers and Implantable Defibrillators
C0180307,Defibrillators
C0180309,Automated External Defibrillators
C0180371,Denture cushion
C0180383,Dermatome device
C0180407,Dialysis units (machines)
C0180409,DIALYZER
C0180431,Dilator
C0180439,Rectal dilator
C0180453,Laryngoscopes
C0180463,Dispenser
C0180479,Dissector
C0180499,Drain device
C0180504,Drapes (device)
C0180511,Surgical Drapes
C0180524,Non-adherent dressing
C0180552,Dropper (physical object)
C0180567,DURA SUBSTITUTE
C0180570,Dynamic splints
C0180578,EAR WICK
C0180600,Electrocardiographic recorders
C0180610,"DEVICE, ELECTROCONVULSIVE THERAPY"
C0180633,"ELECTRODE, ELECTROCARDIOGRAPH"
C0180641,"ELECTRODE, ELECTROSURGICAL"
C0180647,Fetal scalp electrode
C0180677,Electromyographs
C0180694,Bovie
C0180711,"DEVICE, EMBOLIZATION, ARTERIAL"
C0180714,emergency kits
C0180758,Esophagoscopes
C0180765,Evaporators
C0180797,Surgical helmet system
C0180798,Exophthalmometer
C0180814,Eye movement monitor
C0180815,Eye pad
C0180823,Orthodontic Face Mask
C0180853,file device
C0180857,FILIFORM AND FILIFORM FOLLOWER
C0180915,Peak flow meter (device)
C0180921,Fluoroscope
C0180950,Hemostat
C0180979,Frame (physical object)
C0181041,Glaucoma Drainage Implants
C0181051,Examination/treatment glove
C0181064,Gown
C0181066,Surgical Gowns
C0181080,Radiographic grid
C0181089,"Catheter guide wire, device"
C0181145,Heat Exchangers
C0181154,heating pad
C0181175,"DETECTOR, AIR BUBBLE"
C0181185,Hemoperfusion system
C0181220,Tracheal hook
C0181226,Hot Packs
C0181233,Heat and moisture exchanger
C0181262,Hysteroscopes
C0181264,Ice Bags
C0181281,Knee immobilizer
C0181314,INFILTRATOR
C0181331,Intravenous analgesia unit
C0181359,"INSUFFLATOR, HYSTEROSCOPIC"
C0181374,Intrauterine balloon
C0181452,"SYSTEM, PERFUSION, KIDNEY"
C0181462,Scalpel handle
C0181467,knife
C0181475,Ear knife
C0181507,Laminar airflow unit
C0181521,Laparotomy ring
C0181523,"LARYNGOSCOPE, NON-RIGID"
C0181524,"LARYNGOSCOPE, RIGID"
C0181525,Laryngostroboscope
C0181598,Left ventricular assist device
C0181620,Hoist device
C0181637,"Light Sources, Flash"
C0181687,loops
C0181691,vascular loops
C0181716,MALLET
C0181735,"MARKER, RADIOGRAPHIC, IMPLANTABLE"
C0181740,Skin marker
C0181744,Oxygen mask
C0181748,Venturi oxygen face mask
C0181751,Anesthesia mask
C0181758,Surgical face mask
C0181797,Medical Gas Cylinders
C0181801,Medicated Pad
C0181805,Mesh surgical material
C0181807,Metal mesh
C0181839,Microscopes
C0181849,Operating microscope
C0181904,Monitor Device
C0181941,Nasopharyngoscope
C0181952,Needle holder
C0181956,Acupuncture needle
C0181957,Airway needle
C0181959,Aspiration needles
C0181965,"NEEDLE, DENTAL"
C0181976,intravenous needles
C0181982,Spinal needle
C0182021,Obturators
C0182046,Ophthalmoscopes
C0182098,Otoscopes
C0182109,Pulse oximeter
C0182117,"Oxygen analyzer, device"
C0182124,Oxygen cylinder
C0182135,"OXYGENATOR, CARDIOPULMONARY BYPASS"
C0182148,"Pacemakers, Cardiac, Implantable (device)"
C0182158,Pads
C0182204,Penrose drain
C0182209,Perforator
C0182215,Perimeter measuring device
C0182217,Manual perimeter
C0182281,Picture Archiving and Communication Systems
C0182318,Pledgets
C0182349,Positron emission tomography unit
C0182377,Pressure monitor
C0182380,Intracranial Pressure Monitors
C0182400,Probes
C0182450,Auricular prosthesis
C0182473,Acetabular Hip Joint Prostheses
C0182478,Mandibular condyle prosthesis
C0182537,pump (device)
C0182541,Breast pump (device)
C0182557,"Punches, Biopsy (device)"
C0182576,Rack
C0182619,Radiographic-tomographic unit
C0182650,grab bars
C0182659,Frontal sinus rasp
C0182660,Plastic surgery rasp
C0182913,Physiologic monitoring recorder
C0182957,Suction regulator
C0183012,Retinoscopes
C0183014,"Retractor, device"
C0183021,Eye retractor
C0183034,Vaginal retractor
C0183044,Rhinoscope
C0183046,Right ventricular assist device (physical object)
C0183051,Colostomy rod
C0183078,Fetal blood sampler
