cui,name
C0004951,Beliefs
C0005346,Bias (Epidemiology)
C0008069,Child Custody
C0009669,confidentiality
C0010453,Anthropological Culture
C0012653,Disease Reservoirs
C0013850,Electronic
C0015000,Ethics
C0016118,Financial Support
C0016121,"Financing, Organized"
C0017274,Gene Pool
C0018684,Health
C0018741,Health Resources
C0019844,Holistic Health
C0020786,Id Personality Component
C0021399,Influentials
C0021672,Insurance
C0022422,Judaism
C0023963,Logic
C0025119,Medicine in the Arts
C0025120,Medicine in Literature
C0026528,Moral Obligations
C0026531,Morality
C0026532,Morals
C0028794,Occultism
C0030706,Patient Rights
C0031207,Personal Space
C0031230,Persuasive Communication
C0031536,"Philosophy, Medical"
C0031812,Physical Fitness
C0032041,Placebo Effect
C0032381,Political Systems
C0034119,Punishment
C0034380,Quality of life
C0034866,Recommendation
C0035045,Religious Beliefs
C0035201,Resources
C0035617,Right to Die
C0035618,Right to Treatment
C0035647,Risk
C0036588,Self
C0036612,Semantics
C0037403,Social Conditions
C0037414,Social Environment
C0037433,Social Responsibility
C0037439,Social Values
C0037967,Spiritualism
C0038659,therapeutic suggestion
C0040722,disease transmission qualifier
C0041933,Urban Health
C0043236,World Health
C0043418,Yoga (philosophy)
C0078889,Accountability
C0079152,Conflict of Interest
C0079921,"Safety, Occupational"
C0085862,Independence
C0085978,Causations
C0086266,Ethical Theory
C0162365,"Ethics, Clinical"
C0178514,biomedical resource
C0178566,concept
C0178826,reinforcer
C0205759,Wedge Argument
C0237104,spirituality
C0237750,Social Norms
C0242487,Living Arrangements
C0242568,Biases
C0242652,Medical Futility
C0242806,Sick Days
C0242860,Arab World
C0242861,Roman World
C0243156,psychosocial aspects
C0243161,criteria
C0243163,supply aspects
C0332290,Consistent with
C0349590,Nature
C0376327,International Aspects
C0376548,Empiricism
C0376555,Humoralism
C0376556,Western World
C0376558,Life
C0392360,Indication of (contextual qualifier)
C0441833,Groups
C0449234,Concept Attribute
C0449255,Context
C0449450,Presentation
C0520511,Distributing
C0521120,obsolete
