cui,name
C0001829,Agriculture
C0003185,"Anthropology, Cultural"
C0003737,Architecture
C0003826,Arts
C0003916,Artificial Intelligence
C0004699,"Ballistics, Wound"
C0005477,Biochemistry
C0007996,Science of Chemistry
C0007997,"Chemistry, Agricultural"
C0008001,"Chemistry, Inorganic"
C0008004,"Chemistry, Physical"
C0008063,Child Advocacy
C0009821,Consumer Advocacy
C0011298,Demography
C0013546,Ecology
C0013556,Economics
C0013560,Medical Economics
C0014279,Engineering
C0015032,Ethnology
C0015152,Eugenics
C0015979,Fiber Optic Technology
C0016492,Food Technology
C0017404,"Genetics, Population"
C0017447,Geography
C0019664,History
C0019666,History of Dentistry
C0019667,History of Medicine
C0020157,Humanities
C0023010,Language Arts
C0024488,Study of magnetics
C0025566,Metaphysics
C0028811,Occupations
C0029144,Optics
C0030504,Parasitology - branch of biology
C0031534,Philosophy
C0031535,"Philosophy, Dental"
C0031837,Physics
C0032248,Plumbing
C0032382,Politics
C0033349,"Programming, Linear"
C0036172,Sanitation
C0036397,Science
C0037441,Social Work (discipline)
C0038215,Science of Statistics
C0039421,Technology
C0039808,Thermodynamics
C0043266,Writing (occupation or discipline)
C0087066,Taxonomy
C0175860,Natural History
C0243139,science of Cytology and Pathology
C0392333,Mathematical Calculus
C0449829,Geometry
C0596490,electron optics
C0597531,Structural Biology
C0598135,Chemical Kinetics (discipline)
C0599807,Informatics (discipline)
C0600092,Protective services occupation
C0678735,Pharmacology and Toxicology
C0680327,Material Culture
C0682001,Performing Arts
C0682031,Construction Industry
C0700125,"Geography, Medical"
C0871418,"Psychology, Sports"
C0872323,Nanotechnology
C1257942,Ballistics
C1277117,Law occupation (occupation)
C1306056,Worker
C1510823,Advocate (person)
C1513271,Microtechnology
C1514538,Protein Chemistry
C1514685,"Radiation Biology, Low Level Ionizing Radiation"
C1514694,Radiation Physics
C1514960,Statistical Mechanics
C1515223,Microbial Taxonomy
C1515224,Plant Taxonomy
C1515359,Theoretical Biology
C1516333,Cell Cycle Kinetics (discipline)
C1516448,Chemical Dynamics
C1516594,Classical Mechanics
C1516731,Communication Tools
C1517460,Gastrointestinal Physiology
C1517509,Genetic Medicine
C1527114,President of the United States of America
C1527115,Socioeconomics
C1527363,science of electromagnetism
C1707883,Editor
C1708376,Home Health Aid
C1709767,Publisher
C1709964,Risk Manager
C1947939,Law Profession
C2348103,Device Observer Manufacturer
C2698884,Professional Occupation
C2717784,Freshwater Biology
C2717958,Bioengineering
C2718322,Biometry and Biostatistics (occupation or discipline)
C2825046,Kinetics (discipline)
C2827662,Graphics Visualization
C2827712,Equipment Operator
C2936603,Phylogeography
C2986556,Reader 1
C2986557,Reader 2
C3179054,Plant Pathology
C3179055,Plant Virology
C3179056,Plant Bacteriology
C3242673,managed care management
C3273529,Community and Social Services Occupations
C3273539,Management Occupations
C3273540,Office and Administrative Support Occupations
C3274765,Next-Generation Technology
C3641679,Automotive Occupations
C3826000,Medical Writing
C4281784,Electronics discipline
C4316843,Interdisciplinary Research
C4704771,Data Science
C4704785,Implementation Science
C4704817,Data Visualization
C4745134,Mineral Cutting
C4745213,Heavy Metal Mining
