cui,name
C0001299,Acupuncture therapy discipline
C0002111,Allergy Specialty
C0002346,Alternative Medicine
C0002808,Science of Anatomy
C0002811,"Anatomy, Comparative"
C0002812,"Anatomy, Regional"
C0002930,Anesthesiology
C0004644,Bacteriology
C0004937,Behavioral Medicine
C0005523,Biological Psychiatry
C0005532,biology (field)
C0005537,Biomechanics
C0005539,biomedical engineering field
C0005553,Biophysics
C0005574,Biotechnology
C0007189,Cardiology discipline
C0008088,Child Psychiatry
C0008138,Chiropractic (field)
C0009369,Colorectal Surgery Specialty
C0009471,Community Health Nursing
C0009473,Community Medicine
C0010802,Cytogenetics
C0010819,Cytology
C0011627,Dermatology field
C0013851,"Electronics, Medical"
C0013865,Electrophysiology (science)
C0013964,emergency medicine (field)
C0014137,Endocrinology
C0014413,Environmental Health
C0014507,Epidemiology
C0015607,family medicine (field)
C0016557,Forensic Medicine
C0017163,gastroenterology (field)
C0017398,Science of genetics
C0017401,"Genetics, Biochemical"
C0017402,Medical Genetics specialty
C0017467,Geriatric Psychiatry specialty
C0017469,Geriatrics
C0018417,Gynecology
C0018722,Health Occupations
C0018725,Health Physics
C0018943,Hematology (discipline)
C0019638,Histology
C0020405,Hygiene
C0021005,Immunogenetics
C0021782,Internal medicine specialty
C0022420,"Journalism, Dental"
C0025085,Medical Illustration
C0025098,Medical oncology specialty
C0025118,Medicine
C0025123,chinese medicine
C0025124,Traditional Chinese Medicine
C0025129,"Medicine, East Asian Traditional"
C0025131,Traditional Medicine
C0025952,Science of Microbiology
C0026082,Midwifery
C0027621,Neonatology
C0027712,Nephrology Speciality
C0027817,Neurobiology
C0027827,Neuroendocrinology
C0027855,Neurology speciality
C0027901,Science of neurophysiology
C0027903,Neuropsychology
C0027926,Science of neurosurgery
C0028582,Discipline of Nuclear Medicine
C0028677,Discipline of Nursing
C0028707,Science of nutrition
C0028772,Obstetric Nursing
C0028773,Discipline of obstetrics
C0028800,Occupational Health Nursing
C0028802,occupational medicine field
C0029087,Ophthalmology specialty
C0029167,Oral Medicine
C0029355,Orthopedics
C0029892,Otolaryngology specialty
C0030664,Pathology
C0030668,Oral Pathology specialty
C0030669,Surgical Pathology specialty
C0030755,Pediatrics
C0031063,Perinatology
C0031330,Pharmacology
C0031336,Pharmacy (field)
C0031813,Physical and Rehabilitation Medicine
C0031842,Physiology
C0033110,preventive medicine specialty
C0033873,Psychiatry Specialty
C0033909,Psychology
C0033917,"Psychology, Medical"
C0033927,Psychopathology
C0034019,public health medicine (field)
C0034021,Public Health Dentistry
C0034060,Pulmonary Medicine
C0034558,Radiobiology
C0034597,Radiologic Health
C0034599,Radiology Specialty
C0034602,Interventional radiology
C0035452,Rheumatology specialty
C0036745,Study of serum
C0037443,"Social Work, Psychiatric"
C0037777,"Specialties, Dental"
C0037778,Medical Specialities
C0037779,"Specialties, Nursing"
C0037781,"Specialties, Surgical"
C0038040,sports medicine specialty
C0038559,Submarine Medicine
C0038894,Surgery specialty
C0038908,Specialty of oral surgery
C0038911,Plastic Surgery Specialty
C0038931,Perioperative Nursing
C0039424,"Technology, Dental"
C0039431,"Technology, Radiologic"
C0039986,Thoracic Surgery Specialty
C0040541,Toxicology
C0040801,Traumatology
C0041186,Tropical Medicine
C0042077,Urology
C0042762,Science of Virology
C0079920,occupational health specialty
C0085124,Postanesthesia Nursing
C0085125,Emergency Nursing
C0085126,Orthopedic Nursing
C0086343,general practice (field)
C0152036,Immunology
C0178621,Ecotoxicology
C0205478,Oncologic
C0206582,"Journalism, Medical"
