cui,name
C0000872,Academic Medical Centers
C0001573,"Admitting Department, Hospital"
C0002424,Ambulatory Care Facilities
C0002458,American Heart Association
C0002907,"Anesthesia Department, Hospital"
C0005770,Blood Banks
C0005865,Blue Shield
C0006418,Burn Centers
C0006425,Burn Units
C0006827,Cancer Care Facilities
C0007151,Cardiac Care Facilities
C0007670,Centers for Disease Control and Prevention (U.S.)
C0010066,Coronary Care Units
C0011344,Dental Clinics
C0011357,Dental Facilities
C0013185,Drug Industry
C0018518,Halfway Houses
C0018696,Health Care Systems
C0018704,Health care facility
C0018720,Health Maintenance Organizations
C0018732,Health Planning Organizations
C0019870,Homes for the Aged
C0019947,hospice environment
C0019961,Hospital Departments
C0019987,Hospital Shops
C0019994,Hospitals
C0020000,"Hospitals, Chronic Disease"
C0020004,"Hospitals, Convalescent"
C0020007,"Hospitals, Federal"
C0020008,"Hospitals, General"
C0020017,"Hospitals, Pediatric"
C0020021,Psychiatric hospital
C0020025,special hospital
C0020026,"Hospitals, State"
C0020028,"Hospitals, University"
C0020029,"Hospitals, Urban"
C0021621,Institute of Medicine (U.S.)
C0021708,intensive care unit
C0021709,"Intensive Care Units, Neonatal"
C0021710,Pediatric intensive care unit
C0022051,International Planned Parenthood Federation
C0022405,Joint Commission on Accreditation of Healthcare Organizations
C0022877,Laboratory
C0022878,Dental laboratory
C0022879,"Laboratories, Hospital"
C0023337,Leper Colonies
C0026331,Mobile Health Unit
C0027447,"National Center for Health Care Technology, U.S."
C0027463,"National Institute for Occupational Safety and Health, U.S."
C0027466,National Institute of Mental Health (U.S.)
C0027468,United States National Institutes of Health
C0028659,Nurseries
C0028688,Nursing Homes
C0028801,Occupational Health Services
C0029064,Operating Room
C0029916,"Outpatient Clinics, Hospital"
C0031322,Pharmacy facility
C0031341,"Pharmacy Service, Hospital"
C0031834,Physicians' Offices
C0032340,Poison Control Centers
C0033173,"Hospitals, Private"
C0034600,"Radiology Department, Hospital"
C0036376,"Schools, Dental"
C0036378,"Schools, Medical"
