cui,name
C0000096,1-Methyl-3-isobutylxanthine
C0000294,mesna
C0000392,beta-alanine
C0000477,dalfampridine
C0000481,4-Butyrolactone
C0000503,gamma hydroxybutyrate
C0000589,5-methoxytryptamine
C0000598,ticlopidine hydrochloride
C0000608,6-aminocaproic acid
C0000618,mercaptopurine
C0000661,8-Bromo Cyclic Adenosine Monophosphate
C0000665,oxyquinoline
C0000946,acebutolol
C0000949,Acedapsone
C0000970,acetaminophen
C0000975,acetate
C0000979,Acetates
C0000981,acetazolamide
C0001002,acetone
C0001041,acetylcholine
C0001046,Acetylcholinesterase Inhibitors
C0001047,acetylcysteine
C0001157,aconite
C0001275,activated charcoal
C0001367,acyclovir
C0001413,Adenine Nucleotides
C0001443,adenosine
C0001455,cyclic AMP
C0001465,adenosine monophosphate
C0001480,adenosine triphosphate
C0001551,Immunologic Adjuvants
C0001617,Adrenal Cortex Hormones
C0001637,Adrenergic Agents
C0001640,Adrenergic alpha-Agonists
C0001641,Adrenergic alpha-Antagonists
C0001644,Adrenergic beta-Agonists
C0001645,Adrenergic beta-Antagonists
C0001648,Adrenergic Agonists
C0001655,corticotropin
C0001911,albendazole
C0001927,albuterol
C0001947,Alcohol Deterrents
C0001962,ethanol
C0001964,1-propanol
C0001975,Alcohols
C0002006,aldosterone
C0002007,Aldosterone Antagonists
C0002062,Alkaloids
C0002073,Alkylating Agents
C0002083,allantoin
C0002144,allopurinol
C0002191,alpha 1-antitrypsin
C0002199,Interferon-alpha
C0002245,alpha-Amylases
C0002272,Alpha-glucosidase
C0002333,alprazolam
C0002335,alprostadil
C0002362,Alum Compounds
C0002367,aluminum
C0002374,aluminum oxide
C0002403,amantadine
C0002404,amantadine sulfate
C0002444,Amebicides
C0002520,Amino Acids
C0002530,Amino Alcohols
C0002533,Aminoacetonitrile
C0002546,Aminocaproic Acids
C0002555,aminoglutethimide
C0002556,Aminoglycosides
C0002563,aminolevulinic acid
C0002575,aminophylline
C0002598,amiodarone
C0002600,amitriptyline
C0002607,ammonia
C0002658,amphetamine
C0002667,Amphetamines
C0002707,amygdalin
C0002711,amyl nitrite
C0002712,amylase
C0002763,Central Nervous System Stimulants
C0002771,Analgesics
C0002772,"Analgesics, Opioid"
C0002842,Androgen Antagonists
C0002844,Androgens
C0002845,"Androgens, Synthetic"
C0002860,androstenedione
C0002932,Anesthetics
C0002934,Local Anesthetics
C0003009,angiotensin II
C0003015,Angiotensin-Converting Enzyme Inhibitors
C0003018,Angiotensins
C0003138,Antacids
C0003158,Anthelmintics
C0003195,Anti-Arrhythmia Agents
C0003204,Anti-Infective Agents
C0003205,"Anti-Infective Agents, Local"
C0003207,"Anti-Infective Agents, Urinary"
C0003209,Anti-Inflammatory Agents
C0003211,"Anti-Inflammatory Agents, Non-Steroidal"
C0003241,Antibodies
C0003277,Anticholesteremic Agents
C0003280,Anticoagulants
C0003286,Anticonvulsants
C0003289,Antidepressive Agents
C0003290,Tricyclic Antidepressive Agents
C0003292,Antidiarrheals
C0003295,Antidote
C0003297,Antiemetics
C0003299,Antiepileptic Agents
C0003304,Antifibrinolytic Agents
C0003308,Antifungal Agents
C0003364,Antihypertensive Agents
C0003372,Antilymphocyte Serum
C0003374,Antimalarials
C0003376,Antimetabolites
C0003379,Antimitotic Agents
C0003382,antimony potassium tartrate
C0003385,Muscarinic Antagonists
C0003392,Antineoplastic Agents
C0003402,Antioxidants
C0003404,Antiparasitic Agents
C0003405,Antiparkinson Agents
C0003410,Antiplasmin
C0003417,Antipruritics
C0003419,Antipyretics
C0003429,Antisickling Agents
C0003438,antithrombin III
C0003440,Antithrombins
C0003442,"lymphocyte immune globulin, anti-thymocyte globulin"
C0003445,Antitoxins
C0003446,Antitreponemal Agents
C0003449,Antitussive Agents
C0003450,Antivenin
C0003451,Antiviral Agents
C0003620,Appetite Depressants
C0003645,APT compounds
C0003765,arginine
C0003801,Armin
C0003818,arsenic
C0003921,artificial tears (medication)
C0003968,ascorbic acid
C0004057,aspirin
C0004234,atracurium
C0004259,atropine
C0004260,Atropine Derivatives
C0004261,hyoscyamine sulfate
C0004382,Autonomic Agents
C0004475,azacitidine
C0004482,azathioprine
C0004609,baclofen
C0004745,Barbiturates
C0004886,BCG Vaccine
C0004954,belladonna alkaloids
C0004963,diphenhydramine hydrochloride
C0005038,lindane
C0005059,benzocaine
C0005064,Benzodiazepines
C0005070,benzoin resin
C0005088,benzoyl peroxide
C0005098,benztropine
C0005308,betamethasone
C0005320,betaxolol
C0005323,Bethanechol Compounds
C0005367,Bicarbonates
C0005382,Biguanides
C0005496,Biogenic Amines
C0005525,Biological Response Modifiers
C0005578,biperiden
C0005632,bisacodyl
C0005642,bismuth
C0005789,Blood Coagulation Factor
C0005836,Blood Substitutes
C0006044,Botulinum Antitoxin
C0006050,botulinum toxin type A
C0006051,botulinum toxin type B
C0006055,Botulinum Toxins
C0006230,bromocriptine
C0006280,Bronchodilator Agents
C0006353,Buffers
C0006376,bumetanide
C0006400,bupivacaine
C0006405,buprenorphine
C0006462,buspirone
C0006463,busulfan
C0006491,butorphanol
C0006644,caffeine
C0006668,calcitonin
C0006674,calcitriol
C0006675,calcium
C0006681,calcium carbonate
C0006683,Calcium Channel Agonists
C0006684,Calcium Channel Blockers
C0006686,calcium chloride
C0006692,edetate calcium disodium
C0006699,calcium gluconate
C0006701,calcium hydroxide
C0006711,calcium phosphate
C0006712,Calcium Phosphates
C0006716,calcium pyrophosphate
C0006758,Californium
C0006790,Calusterone
C0006809,camphor
C0006863,cannabidiol
C0006864,Cannabinoids
C0006931,capsaicin
C0006938,captopril
C0006945,carbachol
C0006949,carbamazepine
C0006982,carbidopa
C0007009,Carbon
C0007026,Carbonates
C0007036,Carbonic Anhydrase Inhibitors
C0007047,carboprost
C0007072,glucarpidase
C0007158,Cardiac Glycosides
C0007209,Cardiotonic Agents
C0007220,Cardiovascular Agents
C0007248,carisoprodol
C0007258,carnitine
C0007299,carteolol
C0007404,catechin
C0007412,Catecholamines
C0007422,Cathartics
C0007641,cellulase
C0007680,Central Nervous System Agents
C0007681,Central Nervous System Depressants
C0007955,charcoal
C0007974,Chelating Agents
C0008161,chloral hydrate
C0008163,chlorambucil
C0008188,chlordiazepoxide
C0008196,chlorhexidine
C0008214,chlormadinone acetate
C0008269,chloroquine
C0008273,chlorothiazide
C0008283,Chlorphentermine
C0008286,chlorpromazine
C0008318,cholecalciferol
C0008328,cholecystokinin
C0008359,cholera vaccine
