cui,name
C0005479,Biomaterials
C0005934,Bone Cements
C0006341,Bucrylate
C0006935,capsule (pharmacologic)
C0007649,"Cellulose, Oxidized"
C0009361,Colloids
C0009570,Composite Resins
C0011324,Dental Amalgam
C0011379,Dental Materials
C0011414,"Dental Restoration, Temporary"
C0013058,Dosage Forms
C0013183,Drug Implants
C0013983,Emollients
C0014035,Enbucrilate
C0015237,Pharmaceutical Excipient
C0015399,Eye Drops
C0016004,Fibrin Tissue Adhesive
C0017243,Gel
C0017597,Glass Ionomer Cements
C0017814,glutaral
C0019006,Hemodialysis Solutions
C0020266,Hydrocolloids
C0022014,Ion Exchange Resins
C0023115,latex
C0023742,Liniments
C0026647,Mouthwash
C0028736,Nylons
C0028912,Ointments
C0029083,Ophthalmic Solution
C0032485,Polyethylene Terephthalates
C0032521,Polymers
C0032582,Polypropylenes
C0032602,polysorbates
C0032604,Polystyrenes
C0032616,Polyurethanes
C0032861,Powder dose form
C0035192,"Resins, Synthetic"
C0037111,Silicone Oils
C0037114,silicones
C0038854,Suppository
C0038888,Surface-Active Agents
C0038960,Suspensions
C0039225,Tablet Dosage Form
C0039226,Delayed Release Oral Tablet
C0040277,Tissue Adhesives
C0042238,Vaginal Cream
C0042254,Vaginal Foam
C0042444,Drug vehicle
C0043076,Waxes
C0043492,Zinc Oxide-Eugenol Cement
C0059927,Exact brand biomedical or dental material
C0060390,finesse
C0075660,Surgicel
C0076994,Triad Acrylic Resin
C0108411,Carbon Fiber
C0115137,durapatite
C0168634,BaseLine dental cement
C0181074,Graft material
C0181075,Bone graft - material
C0206238,Artificial skin
C0243003,Bone Substitutes
C0259862,Drug emulsion
C0284447,Simulate composite resin
C0290627,Reliance resin cement
C0302587,Radio-Opaque acrylic resin
C0304290,Chewable Tablet
C0304638,Lipstick
C0304651,Ophthalmic Ointment
C0347995,Dental microfilm
C0356770,Vaginal lubricant
C0358508,Hemofiltration solution
C0391770,octyl 2-cyanoacrylate
C0440138,Amalgam (silver) dental filling material
C0440814,Skin allograft
C0445403,Human patch material
C0450127,Allograft surgical material
C0450138,Cultured skin (substance)
C0460977,Plaster
C0461725,Nasal Spray
C0490767,"LINER, CAVITY, CALCIUM HYDROXIDE"
C0490787,Silver point
C0492835,"Bandages, Liquid"
C0525069,Pharmaceutical Solutions
C0559189,Autograft Material
C0593225,Irrigation Solution
C0598322,Inhalant dose form
C0599034,Silicone Gels
C0600484,Hydrogels
C0659450,Secure - resin cement
C0677536,Artificial graft material
C0678430,Elixir
C0700158,Direction brand of orthodontic bonding material
C0701413,Sol brand of Polymethyl Methacrylate
C0705539,Emollient Cream
C0720135,Ear Drops brand of carbamide peroxide
C0740034,Nylon dental material
C0775055,Bar Soap Dosage Form
C0812395,Gum as an ingredient
C0917735,concise
C0917843,Prolene
C0968849,Nexus (resin cement)
C0991503,Chewable Bar
C0991505,Extended Release Oral Capsule
C0991507,Extended Release Oral Tablet
C0991508,Extended Release Suspension
C0991509,Oral Flakes
C0991510,Foam drug form
C0991513,Intraperitoneal Solution
C0991514,Intravenous Solution Dose Form
C0991523,Conventional release nasal cream (dose form)
C0991525,Nasal Inhalant
C0991531,Ophthalmic Gel
C0991536,Oral Solution
C0991542,Otic Suspension
C0991547,Rectal Suppository
C0991549,Sustained Release Buccal Tablet
C0991550,Syrup Drug Form
C0991551,Topical Cream
C0991554,Topical Ointment
C0991566,Bead Dosage Form
C0991568,Drops - Drug Form
C0991575,Inhalation Powder
C0991580,Rectal Ointment
C0991582,Sublingual Tablet
C0991583,Tincture
C0991585,Topical Powder
C0993159,Oral Tablet
C0993595,Enema
C0993608,Disk Drug Form
C0993610,Oral Pellet
C0994475,Pills
C1112870,Aerosol Dose Form
C1136199,Vaginal Suppository
C1154182,Spray Dosage Form
C1154184,Oral Spray
C1154185,Topical Spray
C1154191,Rectal Gel
C1160726,Oral Foam
C1160728,Topical Gel
C1160731,Oral Powder
