cui,name
C0000392,beta-alanine
C0000702,"DNA, A-Form"
C0001041,acetylcholine
C0001239,Actin-Binding Protein
C0001271,Actins
C0001347,Acute-Phase Proteins
C0001369,Acyl Carrier Protein
C0001413,Adenine Nucleotides
C0001443,adenosine
C0001455,cyclic AMP
C0001459,Adenosine Diphosphate
C0001461,Adenosine Diphosphate Ribose
C0001465,adenosine monophosphate
C0001468,Adenosine Phosphosulfate
C0001480,adenosine triphosphate
C0001898,alanine
C0001924,Albumins
C0002191,alpha 1-antitrypsin
C0002210,alpha-Fetoproteins
C0002358,Alu Elements
C0002520,Amino Acids
C0002531,Amino Sugars
C0002563,aminolevulinic acid
C0002667,Amphetamines
C0002976,Angiogenesis Factor
C0003006,Angiotensin I
C0003009,angiotensin II
C0003012,Angiotensin III
C0003017,Angiotensinogen
C0003018,Angiotensins
C0003134,Anserine
C0003136,Ant Venoms
C0003410,Antiplasmin
C0003440,Antithrombins
C0003591,Apolipoproteins
C0003765,arginine
C0003899,Arthropod Venoms
C0004015,aspartic acid
C0004266,"Attachment Sites, Microbiological"
C0004434,Avidin
C0004630,Bacterial Toxins
C0004891,"Fusion Proteins, bcr-abl"
C0004920,Bee Venoms
C0004954,belladonna alkaloids
C0005151,beta 2-Transferrin
C0005210,beta-Endorphin
C0005391,Bile Acids and Salts
C0005402,Bile Pigments
C0005404,bile salts
C0005437,Bilirubin
C0005496,Biogenic Amines
C0005497,Biogenic Monoamines
C0005498,Biogenic Polyamines
C0005515,Biological Factors
C0005554,Biopolymers
C0005789,Blood Coagulation Factor
C0006558,C-Peptide
C0006631,Cadherins
C0006675,calcium
C0006685,Calcium Channel
C0006772,Calmodulin
C0007012,carbon dioxide
C0007061,Carboxyhemoglobin
C0007062,Carboxyhemoglobin A
C0007063,Carboxyhemoglobin C
C0007269,Carotene
C0007292,Carrier Proteins
C0007412,Catecholamines
C0007578,Cell Adhesion Molecules
C0007810,Cerebrospinal Fluid Proteins
C0007831,Ceroid
C0008013,Chemotactic Factors
C0008141,Chitin
C0008368,Cholestanols
C0008377,cholesterol
C0008387,Cholesterol Esters
C0008731,Chylomicrons
C0008776,Ciguatoxins
C0008861,Citrinin
C0009148,cobalt
C0009223,Cnidarian Venoms
C0009226,coenzyme A
C0009235,Coenzymes
C0009297,colicin
C0009331,Collagen Type II
C0009332,Collagen Type III
C0009333,Collagen Type IV
C0009335,Collagen Type V
C0009338,Collagen Type VIII
C0009339,Collagen Type X
C0009392,Colony-Stimulating Factors
C0009629,Conalbumin
C0009968,copper
C0010286,creatine
C0010294,creatinine
C0010369,Crotalid Venoms
C0010422,Crystallins
C0010654,cysteine
C0010682,cystine
C0010815,Cytokinins
C0010852,Cytoskeletal Proteins
C0010868,Cytotoxin
C0011145,deferoxamine
C0011479,deoxycholic acid
C0011602,Dermatan Sulfate
C0011889,Diacetyl
C0012550,Diphtheria Toxin
C0012854,DNA
C0012925,"DNA, Circular"
C0012933,"DNA, Ribosomal"
C0013030,dopamine
C0013757,Elapid Venoms
C0013982,Emodin
C0014242,Endorphins
C0014290,"Enhancer Elements, Genetic"
C0014436,Enzyme Precursors
C0014642,epsilon-Globins
C0015435,F Factor
C0015440,Factor VIII vWF
C0015491,factor IX
C0015498,Factor V
C0015501,Factor Va
C0015502,factor VII
C0015506,factor VIII
C0015514,Factor VIIIa
C0015522,Factor XI
C0015525,Factor XII
C0015533,Factor XIIIa
C0015540,flavin-adenine dinucleotide
C0015689,omega-3 fatty acids
C0015879,Ferritin
C0015936,Fetal Hemoglobin
C0015950,Fetal Proteins
C0015982,Fibrin
C0016006,fibrinogen
C0016013,"Fibrinogens, Abnormal"
C0016026,Fibroblast Growth Factor
C0016042,Fibroins
C0016055,Fibronectins
C0016194,Flagellin
C0016330,fluorine
C0016693,Free Radicals
C0016895,Ganglioside GM1
C0016904,gamma-aminobutyric acid
C0016945,galactose
