cui,name
C0000530,5'-NUCLEOTIDASE
C0001551,Immunologic Adjuvants
C0001697,Aeroallergen
C0001804,Agglutinins
C0002092,Allergens
C0002199,Interferon-alpha
C0002723,Serum amyloid A protein
C0003241,Antibodies
C0003242,"Antibodies, Anti-Idiotypic"
C0003243,"Antibodies, Antinuclear"
C0003245,"Antibodies, Fungal"
C0003248,Heterophile Antibodies
C0003250,Monoclonal Antibodies
C0003253,"Antibodies, Viral"
C0003313,Immune complex
C0003316,Epitopes
C0003320,Antigens
C0003323,CD4 Antigens
C0003334,"Antigens, Ly"
C0003339,Surface Antigens
C0003341,"Antigens, Tumor-Associated, Carbohydrate"
C0003342,"Antigens, Viral"
C0003343,Viral Tumor Antigens
C0003372,Antilymphocyte Serum
C0003435,Antistreptolysin
C0003436,Antistreptolysin O
C0003442,"lymphocyte immune globulin, anti-thymocyte globulin"
C0003445,Antitoxins
C0003450,Antivenin
C0004358,Autoantibodies
C0004886,BCG Vaccine
C0005457,"Binding Sites, Antibody"
C0005525,Biological Response Modifiers
C0005804,Blood Group Antigens
C0006044,Botulinum Antitoxin
C0006051,botulinum toxin type B
C0006560,C-reactive protein
C0006611,Mucin-1 Antigen
C0006613,CA-19-9 Antigen
C0008014,"Chemotactic Factors, Eosinophil"
C0008359,cholera vaccine
C0009185,coccidioidin
C0009498,Complement System Proteins
C0009499,Complement component C1
C0009500,Complement C1 Inactivator Proteins
C0009502,Complement C1q
C0009504,Complement component C1s
C0009505,Complement 2
C0009506,Complement 3
C0009508,Complement C3 Nephritic Factor
C0009516,Complement component C4
C0009519,Complement component C5
C0009545,Complement Membrane Attack Complex
C0010404,Cryoglobulins
C0010594,Cyclosporins
C0012551,"diphtheria toxoid vaccine, inactivated"
C0016011,Platelet Glycoprotein GPIIb-IIIa Complex
C0018449,H-Y Antigen
C0018909,Hemagglutinin
C0018911,"Hemagglutinins, Viral"
C0019161,Hepatitis Antibodies
C0019167,Hepatitis B e Antigens
C0019168,Hepatitis B Surface Antigens
C0019629,Histocompatibility Antigens Class I
C0019630,Histocompatibility Antigens Class II
C0019683,HIV Antibodies
C0019721,HLA Antigens
C0019728,HLA-A Antigens
C0019737,HLA-B Antigens
C0020095,HTLV-I Antibodies
C0020835,immunoglobulin A
C0020838,Secretory Immunoglobulin A
C0020846,Immunoglobulin E
C0020852,immunoglobulin G
C0020861,Immunoglobulin M
C0020960,Immune Sera
C0021009,Immunoglobulin Fragments
C0021010,Immunoglobulin Gm Allotypes
C0021027,Immunoglobulins
C0021031,Fab Immunoglobulins
C0021032,Immunoglobulin Fc Fragments
C0021054,Immunologic Factors
C0021081,Immunosuppressive Agents
C0021403,Influenza virus vaccine
C0021701,Integrins
C0021740,Recombinant Interferon-gamma
C0021741,interferon gamma-1b
C0021742,Interferon Inducers
C0021745,interferon type II
C0021747,Interferons
C0021753,"interleukin-1, beta"
C0021755,Interleukin-1
C0021756,Interleukin-2
C0021759,interleukin-5
C0021760,interleukin-6
C0021764,Interleukins
C0022709,Peptidyl-Dipeptidase A
C0023767,Lipid A
C0023979,Long-Acting Thyroid Stimulator
C0024320,Tumor Necrosis Factor-Beta
C0024429,Migration Inhibitory Factor
C0025010,Measles Vaccine
C0026782,Mumps Vaccine
C0031237,pertussis vaccine
C0032066,Plague Vaccine
C0032172,Platelet Activating Factor
C0032183,Platelet Factor 4
C0032191,Platelet Membrane Glycoprotein IIb
C0032195,Platelet Membrane Glycoproteins
C0032374,Poliovirus Vaccines
C0032595,"Polysaccharides, Bacterial"
C0032936,Precipitins
C0033452,Properdin
C0033453,Complement Factor B
C0034131,purified protein derivative of tuberculin
C0034496,Rabies Vaccines
C0034761,Reagins
C0034790,T-Cell Receptor
C0034805,Fc Receptor
C0035403,Rh Factors
C0035448,Rheumatoid Factor
C0035795,Rocky mountain spotted fever vaccine
C0035923,Rubella virus vaccine
C0038164,Staphylococcal Protein A
C0038858,"Suppressor Factors, Immunologic"
C0039615,Tetanus Antitoxin
C0039620,Tetanus Vaccine
C0040048,Thromboplastin
C0040139,Thyroid stimulating immunoglobulins
C0040555,Toxoids
C0041350,tuftsin
C0041368,Tumor Necrosis Factors
C0042210,Vaccines
C0042211,"Vaccines, Attenuated"
C0042723,Viral Hepatitis Vaccines
C0042742,Viral Vaccines
C0052100,Streptokinase antibody
C0053358,beta 2-Glycoprotein I
C0054504,Calgranulin A
C0054943,ALANINE AMINOPEPTIDASE
C0054949,"Antigens, CD27"
C0054952,CD33 antigen
C0054953,CD34 Antigens
C0054954,CD36 Antigens
C0054961,CD45 Antigens
C0054964,"Antigens, CD5"
C0054965,CD57 Antigens
C0054966,CD59 Antigen
C0054967,CD6 antigen
C0054968,CD7 Antigens
C0055781,Circulating anticoagulants
C0055966,Clusterin
C0056097,cold agglutinins
C0056184,"Receptors, Complement 3d"
C0056207,COMPLEMENT FACTOR H
C0057256,Defensins
C0058773,Diphtheria-Tetanus Vaccine
C0059406,Eosinophil Major Basic Protein
C0059586,Escherichia coli Vaccines
C0061673,varicella zoster virus glycoprotein E
C0062059,H-Y antibody
C0062086,Haemophilus influenzae type b polysaccharide vaccine
C0062524,hepatitis A virus antibodies
C0062525,hepatitis B immune globulin
C0062527,hepatitis B surface antigen vaccine
C0062529,hepatitis B virus X protein
C0063710,"Receptors, Interleukin-1"
C0065828,Measles-Mumps-Rubella Vaccine
C0066510,Antimicrobial Cationic Peptides
C0069115,"Antigens, Nuclear"
C0069426,Oligoclonal Bands (protein)
C0069673,osteoclast activating factor
C0071216,Urokinase Plasminogen Activator Receptor
C0073188,Rho(D) immune globulin
C0074479,CD43 Antigen
C0075128,SS A antibodies
C0076930,Transforming Growth Factor beta Receptors
C0078048,Chickenpox Vaccine
C0078056,Vascular Cell Adhesion Molecule-1
C0079189,cytokine
C0079459,Granulocyte Colony-Stimulating Factor
C0079460,Granulocyte-Macrophage Colony-Stimulating Factor
C0079600,Immunodominant Epitopes
C0079633,interleukin-8
C0079784,Macrophage Colony-Stimulating Factor
C0080097,Lymphocyte Homing Receptors
C0080188,"Antigens, CD15"
C0081937,Dipeptidyl-Peptidase IV
C0082920,HLA-G antigen
C0085240,Lupus Coagulation Inhibitor
C0085289,Minor Lymphocyte Stimulatory Antigens
C0085295,interleukin-10
C0085297,"immunoglobulins, intravenous"
C0085355,Human Platelet Antigens
C0085358,CD8 Antigens
C0085408,ISCOMs
C0086413,HIV Vaccine
C0087050,T-Cell Receptors delta-Chain
C0103647,Antineutrophil Cytoplasmic Antibodies
C0104230,Arrestin
C0108768,CD14 Antigen
C0108779,CD3 Antigens
C0115305,E-Selectin
C0122577,"complement factor H, human"
C0123242,CD23 Antigen
C0125090,L-Selectin
C0134835,P-Selectin
C0138547,prohibit
C0140116,recoverin protein
C0162595,Antiphospholipid Antibodies
C0162596,"Antibodies, Anticardiolipin"
C0164613,interferon alfacon-1
C0166049,Hepatitis C Antibodies
C0167954,I-kappa B Proteins
C0170300,Hepatitis A Vaccines
C0174745,Pseudorabies Vaccines
C0178481,antibody inhibitor
C0206255,Malaria Vaccines
C0206491,Bispecific Monoclonal Antibodies
C0206514,Haemophilus Vaccines
C0206515,"Vaccines, Conjugate"
C0210630,filgrastim
C0214743,Interleukin-13
C0217525,"LGALS3BP protein, human"
C0218227,"MPL protein, human"
C0236524,Measles antibody
