cui,name
C0000769,teratologic
C0001565,Sublingual Route of Drug Administration
C0001688,aspects of adverse effects
C0005572,bioformation
C0005654,Bite Force
C0007807,In Cerebrospinal Fluid
C0008903,Taxonomic
C0011155,Deficiency
C0013153,Drug Administration Routes
C0013217,pharmacotherapeutic
C0013557,Economic
C0013675,"Effect Modifier, Epidemiologic"
C0014275,Energy-Generating Resources
C0014445,enzymology
C0014501,Epidemiologic Factors
C0014508,epidemiologic
C0015127,Etiology aspects
C0016203,Flattened
C0017399,genetic aspects
C0019665,Historical aspects qualifier
C0021487,Intra-Arterial Injections
C0021494,Intravenous Injections
C0021498,"Injections, Spinal"
C0025520,metabolic aspects
C0025664,Methods aspects
C0025953,Microbiological
C0031328,Pharmacokinetic aspects
C0031847,physiopathological
C0032344,Poisoning aspects
C0034378,quality control
C0034571,roentgenographic
C0034992,Rehabilitation aspects
C0035868,Rotation
C0036525,Metastatic to
C0038137,standards characteristics
C0038895,Surgical aspects
C0039593,Testing
C0039798,therapeutic aspects
C0040652,Transdermal Route of Drug Administration
C0040733,transplantation aspects
C0040756,Transportation
C0042037,In Urine
C0042153,utilization qualifier
C0042382,Vascularization
C0079107,chemical aspects
C0080026,Planets
C0080167,Solar System
C0150112,psychological masking
C0175630,Circulating
C0175674,Manual
C0175676,ultrasonography aspects
C0184581,Disimpaction - action
C0196999,Retrobulbar injection of therapeutic agent
C0199960,Transfusion - action
C0205173,Duplicate
C0205196,Communicating
C0205227,Endogenous
C0205228,Exogenous
C0205239,Dissecting
C0205245,Functional
C0205263,Induce (action)
C0205269,Unresponsive to Treatment
C0205270,Irreducible
C0205278,Postural
C0205279,Contaminated
C0205296,Natural
C0205298,Non-communicating
C0205300,Non-functional
C0205303,Non-invasive
C0205319,Manifest
C0205321,Penetration
C0205329,Progressive
C0205339,Reinfection
C0205340,Repaired
C0205341,Repeat
C0205342,Responsive
C0205343,Reversible
C0205359,Spontaneous
C0205362,Strangulated
C0205367,Suppressive
C0205368,Sutured
C0205373,Systemic
C0205405,Bullous
C0205409,Isolated
C0205415,Balanced - adjective
C0205430,Mixed (qualifier value)
C0205431,Formed
C0205462,Histologic
C0205463,Physiological
C0205464,pharmacological
C0205466,virologic
C0205469,Pathological aspects
C0205470,immunologic
C0205472,Toxicologic
C0205473,Serologic
C0205474,Biochemical
C0205476,Medical
C0205481,Ophthalmologic
C0205483,Radiologic
C0205484,Obstetrical
C0205485,Physical
C0205486,Psychologic
C0205487,Psychiatric
C0205488,Hematologic
C0205491,Otologic
C0205518,Transrectal approach
C0205528,Intra-articular route
C0205535,Inhalation Route of Drug Administration
C0205543,Referring
C0205554,Automated (qualifier value)
C0205681,Active Site
C0220812,Cost aspects
C0220814,Cultural aspects
C0220823,epidemic aspects
C0220829,fetal development aspects
C0220856,incidence of cases
C0220888,increasing incidence
C0220909,Aspects of disease screening
C0220912,Aspects of signs
C0220920,surveillance aspects
C0220921,survival aspects
C0220922,systematic
C0220934,Ultrasonic
C0221099,Impaired
C0227334,appendiceal
C0229601,Hematopoietic
C0231174,Failure (biologic function)
C0231175,Failed
C0231179,Insufficiency
C0231185,Inefficient
C0231186,compensatory
C0231200,intolerant
C0231203,predisposed
C0231204,Susceptible
C0231220,Symptomatic
C0231242,Complicated
C0231435,Mobile
C0231448,Extension
C0231457,Adduction
C0231459,Internal rotation
C0231462,External rotation
C0231923,Ventilated
C0232387,keratinized
C0232401,desquamated
C0232901,Migratory (qualifier value)
C0232902,migrated
C0234226,Painless
C0234227,Indolent
C0234531,convulsive
C0234621,Visual
