cui,name
C0000723,Abbreviations
C0001683,Advance Directives
C0002045,algorithm
C0002867,Anecdotes
C0003116,Anonyms and Pseudonyms
C0004738,Bar Codes
C0005504,Biography
C0005600,Birth Certificates
C0006002,Books
C0006347,Budgets
C0007320,Case Reports Publication Type
C0007835,Certificate of Need
C0009458,Communications Media
C0009491,comparative study publication
C0009627,Computing Methodologies
C0009797,Consent Forms
C0011066,Death Certificates
C0011113,Decision Support Techniques
C0011114,Decision Theory
C0011115,Decision Trees
C0011412,Dental Records
C0012114,"Dictionaries, Pharmaceutic as Topic"
C0012157,Diet Records
C0013109,Drama
C0013113,Drawings (art)
C0013960,Emergency Medical Service Communication Systems
C0014622,Eponyms
C0015324,Expert Systems
C0015730,Feasibility Studies
C0016262,Flowcharts (Computer)
C0016538,Projections and Predictions
C0016590,Formularies as Topic
C0016997,Game Theory
C0017500,Gestalt Theory
C0017594,Glasgow coma scale
C0018017,objective (goal)
C0018739,Personal Health Records
C0018761,Health Status Indicators
C0019972,Hospital Information Systems
C0020168,Humor
C0021135,In Vitro [Publication Type]
C0021504,Injury Severity Score
C0021681,"Insurance, Dental"
C0021791,International System of Units
C0022396,Job Description
C0022752,Knowledge Bases
C0023683,Life Tables
C0023866,Literature
C0024763,Manuals as Topic
C0024779,Map
C0025102,Medical Records
C0025116,Medication Systems
C0025663,Methods
C0026350,Theoretical model
C0026601,Motion Pictures as Topic
C0027365,Name
C0028275,Terminology
C0029038,Online Systems
C0030650,Legal patent
C0031082,Periodicals
C0032076,Planning Techniques
C0032217,Pleasure-Pain Principle
C0032670,Population Forecast
C0033081,Drug Prescriptions
C0033348,Programming Languages
C0033903,Psychological Techniques
C0034036,Publications
C0034394,Questionnaires
C0034526,aspects of radiation effects
C0034546,Radio communications
C0034619,radiotherapeutic
C0034676,Rare Books
C0034869,Records
C0034975,Registries
C0034980,Regression Analysis
C0036719,Serial Publications
C0036886,Sex Manuals
C0038951,Surveys
C0039154,Systems Theory
C0039712,Textbooks
C0039741,Thanatology
C0040672,Transfer Agreement
C0040712,Language Translations
C0040787,Trauma Severity Indices
C0043010,Waiting Lists (patient)
C0079004,B-Lymphocyte Subsets
C0079252,Do-Not-Resuscitate Orders
C0079265,Editorial Policies
C0079630,Institutional Policy
C0080109,Resuscitation Orders
C0085519,Reminder Systems
C0085970,Case Histories
C0085973,Case Study
C0086104,Decision Aids
C0086272,Experimental Model
C0086960,Schedule (document type)
C0150098,Data Set
C0150641,Instrumental activities of daily living (assessment scale)
C0162443,Journal
C0162791,Guidelines
C0162793,Practice Guidelines as Topic
C0178692,human population study
C0178916,Care plan
C0184495,Coping Component
C0184496,Fluid Volume Component
C0184502,Respiratory Component
C0184505,Self-Care Component
C0184507,Sensory Component
C0184509,Tissue Perfusion Component
C0206034,"Clinical Trials, Randomized"
C0220845,guiding characteristics
C0220880,morbidity aspects
C0220901,prognostic
C0220952,DSM-IV
C0237913,Statistical Test
C0242356,Databases
C0242365,Legal Status
C0242456,Policy
C0242539,Psychiatric Wills
C0243028,APACHE II
C0243030,Acute Physiology and Chronic Health Evaluation
C0282354,Descriptors
C0282409,Legal Case
C0282411,Published Comment
C0282412,Editorial
C0282413,Correspondence as Topic
C0282416,Overall Publication Type
C0282417,Published Erratum
C0282419,Technical Report
C0282420,Journal Article
C0282423,Guideline [Publication Type]
C0282426,Published Directory
C0282439,Multicenter Studies as Topic
C0282440,Randomized Controlled Trials as Topic
C0282441,Review Literature
C0282443,Review [Publication Type]
C0282446,Historical Article
C0282451,Clinical Practice Guideline
C0282458,Meta-Analysis (publications)
C0282574,Intellectual Property
C0282654,Clinical Pathways
C0282655,Critical Pathways
C0302828,Instruction [Publication Type]
C0332522,Contract agreement
C0332710,"Fracture, transverse"
C0333052,Version
C0349674,Intellectual scale
C0376478,Multimedia
C0376554,Knowledge
C0376585,Cross-Sectional Anatomy
C0376649,Addresses (publication format)
C0376650,Animation
C0376655,Bookplates
C0376658,Catalogs
C0376663,Published Ephemera
C0376667,Herbals (publications)
C0376680,Price List
C0376682,Lecture Note
C0376683,Lecture
C0376691,Programs - Publication Format
C0392366,Tests (qualifier value)
C0439063,Alphanumeric
C0439069,Roman numeral II
C0439070,Roman Numeral III
C0439079,Positive integer
C0439095,Greek letter alpha (qualifier value)
C0439096,Beta greek letter
C0439097,Delta - greek letter
C0439098,Greek letter epsilon
C0439099,Greek letter kappa
C0439105,Upper case Roman letter B
C0439106,Upper case Roman letter C
C0439107,Upper case Roman letter D
C0439108,Upper case ee
C0439109,Upper case eff
C0439110,upper case gee
C0439111,Upper case Roman letter H
C0439112,Upper case Roman letter K
C0439113,Upper case Roman letter M
C0439117,Upper case Roman letter R
C0439118,Upper case Roman letter S
C0439119,Upper case tea
C0439120,Upper case Roman letter V
C0439122,Upper case ecks
C0439127,Lower case Roman letter b
C0439129,Lower case Roman letter d
C0439131,Lower case ee
C0439132,Lower case eff
C0439134,Lower case Roman letter h
C0439135,Lower case eye
C0439142,Lower case are
C0439143,Lower case tea
C0439144,Lower case you
C0439145,Lower case Roman letter v
C0441750,Hypersensitivity types
C0441767,Stage level 2
C0441771,Stage level 3
C0441772,Stage level 4
C0441777,Stage level 5
C0441778,Stage A
C0441781,Stage B
C0441785,Stage C
C0441789,Stage D
C0441790,Stage D1
C0441792,Editions
C0441843,Group I (alphabetic group)
C0441861,Group 1
C0441886,Class 2
C0441887,Class 3
C0441925,Level I
C0441926,Level II
C0441950,Lower case ecks
C0442015,Digital X-ray
C0442711,Protocols documentation
C0442996,Cox microbiology subtype
C0443276,Pathological staging
C0444597,Double contrast technique
C0444748,Enteroinvasive
C0444974,la serotype
C0444976,Ib serotype
C0445150,Serotype O157:H7
C0445379,Roman Numeral VI
C0445385,Roman numeral VII
C0445392,Wild
C0445573,Orleans
C0445599,Roman numeral VIII
C0449309,Laboratory method
C0449366,Method of removal
C0449394,Staging system
C0449475,cell type
C0449492,Type of food
C0449493,Type of foreign body
C0449943,Serotype
C0449982,Type of restoration
C0450344,alphanumeric label - 1A
C0450980,Acute physiology and chronic health evaluation III
C0450984,Alcohol dependence scale
C0451005,Assessment of motor and process skills (assessment scale)
C0451162,FIRST screening test
C0451297,Michigan alcoholism screening test
C0451581,Westmead Post-Traumatic Amnesia Scale
C0456387,Class
C0457464,types of diseases
C0457499,Type 5
C0459471,Interpretation Process
C0470166,Message
C0475270,G2 stage (tumor staging)
C0475271,Tumor grade G3
C0475455,T - Tumor stage
C0475483,Behavior Rating Scale
C0475506,Ravens colored progressive matrices
C0489452,Body Surface Area Formula
C0518090,Frequency of Pain Question
C0518895,Neurocognitive
C0518896,Nutrition outcomes
C0525055,Organizational Case Studies
C0525070,"Decision Support Systems, Clinical"
C0542560,Academic degree
C0547053,First grade in elementary school
C0552315,Amniotic Fluid Index
C0552371,Citation
C0552583,PROCEDURE NOTE
C0559867,Fracture of both columns
C0580264,H1N1
C0580265,H2N2
C0580279,1 serotype
C0582653,Perceived stress scale
C0586303,Certificate (record artifact)
C0589425,Attention process training test
C0592502,Generic Name
C0592503,Proprietary Name
C0596098,animal morbidity
C0596102,animal population study
C0596139,automated health care system
C0596323,chemical standardization
C0596657,health care model
C0596785,Interactive multimedia
C0596849,literature citation
C0599880,Treatment Plan
C0600091,Identifier
C0600281,Nomenclature
C0600644,Collections (publication)
C0600647,Essay
C0600648,Examination Questions
C0600653,Indexes
C0600657,Legislation (documents)
C0600659,Manuscripts
C0600661,Outlines (document)
C0600665,Phrases
C0600673,Statistics (publications)
C0600677,Union List
C0600678,Abstract Summary
C0677510,Roman Numeral IV
C0677540,PAMS Media
C0678257,Description
C0679207,Knowledge acquisition using a method of assessment
C0679228,Diagnostic Criteria
C0679508,diagnostic tree
C0679622,literary novel
C0679716,prevention strategy
C0679717,prevention program
C0679919,health records
C0680532,Amendment
C0680536,commercial
C0681251,Classical Music
C0681288,Written Language
C0681290,jargon
C0681472,policy statement
C0681482,Financial Statements
C0681493,Graph - visual representation
C0681494,Diagram
C0681836,Validation Study
C0681841,Explanation
C0683312,Categories
C0683326,disease classification
C0683432,Drug Abuse Inventory
C0683457,State-trait anger expression inventory
C0683504,Alcohol Safety Action Program
C0683613,Social Theory
C0683876,fact sheet
C0683877,flyer
C0683879,panel discussion
C0683956,Disease Predictive Factor
C0684224,Report (document)
C0684240,Charts (publication)
C0684258,Fourth grade in elementary school
C0687114,organizational structure
C0687136,Personal Experience Scales
C0687678,product label
C0687696,Second grade in elementary school
C0687697,Third grade in elementary school
C0687709,Children of Alcoholics Screening Test
C0699794,Rank
C0699833,Psychological Screening Inventory
C0700217,electronic bulletin board
C0740885,ALIAS
C0745732,List
C0746470,MEDICATION LIST
C0747307,Patient-Reported
C0747978,Progress note
C0805443,Cancer Registry
C0805701,Code
C0807321,Pathology report
C0810533,security systems
C0814193,clinical institute withdrawal assessment (CIWA) for alcohol
C0814812,overview
C0815296,Drinking Problems Index
C0815317,Alcohol Misuse Prevention Study
C0815320,Impaired Control Scale
C0815327,NET questionnaire
C0851147,Followup Drinker Profile
C0851173,Addiction Potential Scale
C0870077,Rule (guideline)
C0870733,International Classification of Diseases
C0870951,Neural Network Simulation
C0871472,t-Test
C0871893,Script
C0872179,"Databases, Genetic"
C0872249,"Databases, Protein"
C0872304,Voucher
C0876929,Sentence
C0876936,Mathematical Model
C0887929,Unpublished Work
C0887933,Fictional Works
C0918012,Index
C0919279,A Codes
C0920316,Documentation
C0925206,Connected_to relation
C0935630,Published Interview
C0936005,Published Practice Guidelines
C0936090,Portraits as Topic
C0936091,Annual Reports
C0936233,Controlled Clinical Trial [Publication Type]
C0947322,Manufacturer Name
C0947611,Comment
C0969625,Methodology aspects
C0993637,Published Database
C1096774,Letter [Publication Type]
C1096775,Clinical Trial [Publication Type]
C1096777,Randomized Controlled Trial (publication)
C1096779,"Clinical Trial, Phase II"
C1096782,Twin Studies
C1115660,Lot Number
C1135584,Medical Subject Headings
C1135938,Codes of Ethics
C1136257,Systematized Nomenclature of Medicine
C1137105,DSM-V
C1137110,"International Statistical Classification of Diseases and Related Health Problems, Tenth Revision (ICD-10)"
C1138431,Current Procedural Terminology
C1138432,PubMed
C1140091,AI/RHEUM
C1140095,Current Procedural Terminology (Version 4)
C1140097,COSTART
C1140113,Omaha System
C1140130,Nursing Interventions Classification
C1140150,NOC - CodeSystem
C1171152,Life Cycle Component
C1179801,Arterial tree
C1185625,Anatomical compartments
C1272517,Sudden onset (contextual qualifier) (qualifier value)
C1277691,Pack years
C1301142,WHO tumor classification
C1301584,Last Name
C1301627,Format
C1301746,Documents
C1301826,Street address
C1301894,Medical record number
C1317574,Note (document)
C1321595,Pneumonia severity index
C1442065,Address
C1442085,Instructions
C1443235,First Name
C1443933,Laboratory biosafety level
C1449618,Pharmaceutical Care
C1450294,Nomograms
C1456649,Children's Page
C1507394,Clinical trial protocol document
C1510755,Accession Number (identifier)
C1511297,Breast Cancer Risk Assessment Tool
C1511351,Bypass Budget
C1511481,Consent
C1511784,Dermatome Map
C1511875,Diagnostic Accuracy Assessment Criterion
C1512015,Doctor of Chiropractic
C1512018,Doctor of Medicine
C1512020,Doctor of Osteopathic Medicine
C1512022,Doctor of Philosophy
C1512027,Doctorate Degree
C1512348,Health Information National Trends Survey
C1512892,International Classification of Disease for Oncology
C1513008,Master of Public Health
C1514280,Postsurgical Stage II
C1514281,Postsurgical Stage III
C1514282,Postsurgical Stage IV
C1514292,Pre-Clinical Model
C1514575,Protocol Forms Template
C1514811,Bibliographic Reference
C1515258,Telephone Number
C1516308,Case Report Form
C1516602,Research or Clinical Assessment Tool
C1516606,Clinical Data
C1516636,Clinical Trials Design
C1516728,National Cancer Institute common terminology criteria for adverse events
C1517001,Expected
C1517503,Genetic Programming
C1518668,Other Resources
C1518848,Pain Assessment Tool
C1519193,Scheme
C1521800,Adverse Drug Experience Report
C1521826,Protocol Agent
C1521842,Zip Code
C1521941,prescription document
C1522446,Disease Grade 2
C1522634,Question (inquiry)
C1522664,filter information process
C1522729,Library Protocol
C1524004,Authorization documentation
C1524067,Rodent Nomenclature Name
C1524073,"Component, LOINC Axis 1"
C1527021,Text
C1546398,Admission Type - Elective
C1546403,Admission Type - Urgent
C1546533,Specimen Source Codes - Abscess
C1546538,Amniotic fluid specimen code
C1546539,Amputation Specimen Code
