cui,name
C0000735,Abdominal Neoplasms
C0001418,Adenocarcinoma
C0001618,Tumors of Adrenal Cortex
C0001624,Adrenal Gland Neoplasms
C0001630,Adrenal Rest Tumor
C0001815,Primary Myelofibrosis
C0002793,Anaplasia
C0002989,Epithelioid hemangioma of skin
C0003463,Anus Neoplasms
C0003614,Appendiceal Neoplasms
C0004991,Benign neoplasm of colon
C0005396,Bile Duct Neoplasms
C0005426,Biliary Tract Neoplasm
C0005684,Malignant neoplasm of urinary bladder
C0005695,Bladder Neoplasm
C0005699,Blast Phase
C0005967,Bone neoplasms
C0006118,Brain Neoplasms
C0006142,Malignant neoplasm of breast
C0006413,Burkitt Lymphoma
C0006826,Malignant Neoplasms
C0007097,Carcinoma
C0007099,Carcinoma in Situ
C0007102,Malignant tumor of colon
C0007103,Malignant neoplasm of endometrium
C0007107,Malignant neoplasm of larynx
C0007113,Rectal Carcinoma
C0007114,Malignant neoplasm of skin
C0007115,Malignant neoplasm of thyroid
C0007120,Bronchioloalveolar Adenocarcinoma
C0007121,Bronchogenic Carcinoma
C0007124,Noninfiltrating Intraductal Carcinoma
C0007125,"Carcinoma, Ehrlich Tumor"
C0007129,Merkel cell carcinoma
C0007131,Non-Small Cell Lung Carcinoma
C0007134,Renal Cell Carcinoma
C0007279,Carotid Body Paraganglioma
C0007528,Cecal Neoplasms
C0007659,Cementoma
C0007798,Cerebral Ventricle Neoplasms
C0007847,Malignant tumor of cervix
C0007855,Cervical polyp
C0008493,"Hydatidiform Mole, Invasive"
C0008523,Choroid Neoplasms
C0009375,Colonic Neoplasms
C0009402,Colorectal Carcinoma
C0009404,Colorectal Neoplasms
C0009761,Conjunctival Neoplasms
C0009777,Conn Adenoma
C0010276,Craniopharyngioma
C0010673,Endometrial cystic hyperplasia
C0011649,Dermoid Cyst
C0013291,Duodenal Neoplasms
C0013930,"Embolism, Tumor"
C0014126,Endocervical polyp
C0014132,Endocrine Gland Neoplasms
C0014536,Epidural Neoplasms
C0014859,Esophageal Neoplasms
C0015461,Facial Neoplasms
C0015558,Fallopian Tube Neoplasms
C0016045,fibroma
C0016978,gallbladder neoplasm
C0017075,Ganglioneuroma
C0017150,Gastrinoma
C0017185,Gastrointestinal Neoplasms
C0017416,"Genital Neoplasms, Female"
C0017525,Giant Cell Tumors
C0017570,Gingival Neoplasms
C0017638,Glioma
C0018553,"Hamartoma Syndrome, Multiple"
C0018671,Head and Neck Neoplasms
C0018809,Heart Neoplasm
C0018915,Hemangioendothelioma
C0018916,Hemangioma
C0018920,"Hemangioma, Cavernous"
C0019618,Histiocytosis
C0019621,"Histiocytosis, Langerhans-Cell"
C0019623,Malignant histiocytosis
C0019829,Hodgkin Disease
C0020217,Hydatidiform Mole
C0020659,Hypothalamic Neoplasms
C0020876,Ileal Neoplasms
C0021432,Infratentorial Neoplasms
C0021670,insulinoma
C0021841,Intestinal Neoplasms
C0022374,Jejunal Neoplasms
C0022665,Kidney Neoplasm
C0023055,Laryngeal neoplasm
C0023267,Fibroid Tumor
C0023418,leukemia
C0023434,Chronic Lymphocytic Leukemia
C0023443,Hairy Cell Leukemia
C0023448,Lymphoid leukemia
C0023449,Acute lymphocytic leukemia
C0023452,Childhood Acute Lymphoblastic Leukemia
C0023453,L2 Acute Lymphoblastic Leukemia
C0023467,"Leukemia, Myelocytic, Acute"
C0023470,Myeloid Leukemia
C0023473,"Myeloid Leukemia, Chronic"
C0023474,"Leukemia, Myeloid, Chronic-Phase"
C0023484,"Leukemia, Plasma Cell"
C0023487,Acute Promyelocytic Leukemia
C0023492,"Leukemia, T-Cell"
C0023493,Adult T-Cell Lymphoma/Leukemia
C0023532,"Leukoplakia, Oral"
C0023903,Liver neoplasms
C0024232,Lymphatic Metastasis
C0024299,Lymphoma
C0024305,"Lymphoma, Non-Hodgkin"
C0024314,Lymphoproliferative Disorders
C0024620,Primary Malignant Liver Neoplasm
C0024623,Malignant neoplasm of stomach
C0024694,Mandibular Neoplasms
C0024958,Maxillary Sinus Neoplasms
C0025202,melanoma
C0025267,Multiple Endocrine Neoplasia Type 1
C0025268,Multiple Endocrine Neoplasia Type 2a
C0025269,Multiple Endocrine Neoplasia Type 2b
C0025284,Meningeal Neoplasms
C0026470,Monoclonal Gammopathy of Undetermined Significance
C0026640,Mouth Neoplasms
C0026725,Mucous polyp of cervix
C0026764,Multiple Myeloma
C0026987,Myelofibrosis
C0026998,"Acute Myeloid Leukemia, M1"
C0027022,Myeloproliferative disease
C0027086,Myoma
C0027149,Myxoma
C0027439,Nasopharyngeal Neoplasms
C0027627,Neoplasm Metastasis
C0027651,Neoplasms
C0027656,"Neoplasms, Connective Tissue"
C0027662,Multiple Endocrine Neoplasia
C0027665,"Neoplasms, Nerve Tissue"
C0027668,"Neoplasms, Vascular Tissue"
C0027671,Neoplastic Processes
C0027672,"Neoplastic Syndromes, Hereditary"
C0027708,Nephroblastoma
C0027809,Neurilemmoma
C0027830,neurofibroma
C0027831,Neurofibromatosis 1
